Sensor: 208 Hz DRDY streaming.
Tree:   window=75  mlc_odr=104  decim=2  features=2  nodes=3
Class codes: still=0  motion=4

trans#   t_int_us     new_class  host_dt_us  
Warmup complete (75 MLC samples, 721.2 ms wall).
1        225433013    4          336         
2        231789840    0          325         
3        236028639    4          320         
4        241678886    0          327         
5        245917368    4          310         
6        251568159    0          334         
7        255806384    4          330         
8        261456936    0          333         
9        265695928    4          321         
10       271359416    0          322         
11       275605210    4          319         
12       276312734    0          316         
13       277020470    4          313         
14       281264803    0          320         
15       283386889    4          315         
16       284094193    0          314         
17       284801475    4          322         
18       291873437    0          333         
19       296115735    4          327         
20       301771532    0          323         
21       306012903    4          314         
22       311667408    0          325         
23       315907735    4          312         
24       321560999    0          319         
25       325801302    4          317         
26       331454391    0          336         
27       335693669    4          322         
28       336400129    0          314         
29       337106615    4          320         
30       341345550    0          319         
31       345584302    4          333         
32       351942359    0          329         
33       355474709    4          327         
34       361833369    0          320         
35       366072136    4          350         
36       371724042    0          353         
37       375962821    4          314         
38       381614198    0          313         
39       385853670    4          320         
40       391505256    0          316         
41       395743452    4          317         
42       396449653    0          330         
43       397155867    4          359         
44       401393450    0          319         
45       405631126    4          330         
46       411986976    0          327         
47       415518118    4          313         
48       420462341    0          330         
49       421168653    4          328         
50       421875010    0          317         
51       426113865    4          338         
52       431764131    0          315         
53       436001973    4          329         
54       441652647    0          345         
55       445890860    4          322         
56       451542008    0          318         
57       455780081    4          349         
58       456486385    0          314         
59       457192780    4          325         
60       461431052    0          328         
61       465669126    4          327         
62       468494514    0          316         
63       469200843    4          319         
64       472026244    0          316         
65       475557839    4          325         
66       481915320    0          325         
67       486154031    4          314         
68       491804719    0          319         
69       496043124    4          327         
70       501694006    0          314         
71       505931064    4          325         
72       511580949    0          312         
73       515818200    4          341         
74       516524394    0          331         
75       517230615    4          311         
76       521467964    0          370         
77       525706067    4          326         
78       532062246    0          328         
79       535593852    4          320         
80       541950557    0          325         
81       546188654    4          361         
82       551839187    0          320         
83       556076802    4          325         
84       561727046    0          314         
85       565964363    4          322         
86       571614459    0          351         
87       575852158    4          322         
88       576558401    0          312         
89       577264627    4          315         
90       581502575    0          339         
91       585740029    4          318         
92       592096609    0          338         
93       595627780    4          327         
94       600571530    0          317         
95       601277788    4          319         
96       601984111    0          313         
97       606222014    4          315         
98       611872076    0          324         
99       616109616    4          331         
100      621759768    0          318         
101      625997157    4          316         
102      631647267    0          348         
103      635884944    4          316         
104      636591177    0          309         
105      637297469    4          321         
106      641535705    0          323         
107      645773742    4          325         
108      652129282    0          316         
109      655660144    4          318         
110      662015629    0          314         
111      666252610    4          315         
112      671902113    0          317         
113      676138985    4          321         
114      681788366    0          332         
115      686025295    4          323         
116      691674367    0          341         
117      695911082    4          316         
118      696617189    0          318         
119      697323308    4          314         
120      701560460    0          327         
121      705797540    4          315         
122      712152968    0          318         
123      715684016    4          317         
124      722039646    0          330         
125      726277178    4          314         
126      731926738    0          326         
127      736164336    4          335         
128      741813839    0          315         
129      746050820    4          314         
130      751699768    0          328         
131      755937237    4          331         
132      756643578    0          313         
133      757349977    4          311         
134      761587292    0          307         
135      765824444    4          339         
136      772180213    0          343         
137      775711214    4          341         
138      782066920    0          326         
139      786303945    4          319         
140      791953731    0          313         
141      796191101    4          332         
142      801842429    0          333         
143      806079576    4          326         
144      811729246    0          316         
145      815966511    4          326         
146      816672634    0          330         
147      817378882    4          350         
148      821616909    0          322         
149      825855323    4          326         
150      832212804    0          325         
151      835744412    4          325         
152      842101467    0          313         
153      846339150    4          325         
154      851989752    0          313         
155      856227496    4          326         
156      861878030    0          326         
157      866115893    4          315         
158      871766725    0          322         
159      876004933    4          318         
160      876711221    0          329         
161      877417599    4          363         
162      881655516    0          317         
163      885893315    4          319         
164      888718599    0          314         
165      889424955    4          312         
166      892250151    0          327         
167      895781576    4          329         
168      900726074    0          320         
169      901432354    4          326         
170      902138652    0          323         
171      906376412    4          327         
172      912026718    0          331         
173      916265313    4          317         
174      921916782    0          327         
175      926155600    4          317         
176      931806440    0          315         
177      936045398    4          335         
178      936751646    0          332         
179      937457997    4          332         
180      941696067    0          330         
181      945934229    4          317         
182      948759549    0          328         
183      949465847    4          325         
184      952290972    0          314         
185      955822949    4          314         
186      962180557    0          322         
187      966419267    4          323         
188      972070260    0          315         
189      976308146    4          331         
190      981958802    0          325         
191      986196976    4          313         
192      991847358    0          331         
193      996085370    4          328         
194      996791664    0          324         
195      997498026    4          313         
196      1001736030   0          323         
197      1005973680   4          326         
198      1012330853   0          328         
199      1015863012   4          313         
200      1020807330   0          315         
201      1021513808   4          325         
202      1022219923   0          328         
203      1026458078   4          314         
204      1032108530   0          329         
205      1036346278   4          348         
206      1041996748   0          363         
207      1046234353   4          313         
208      1051884958   0          336         
209      1056122809   4          323         
210      1061773140   0          325         
211      1066010987   4          321         
212      1066717178   0          314         
213      1067423433   4          312         
214      1072367509   0          333         
215      1075899163   4          322         
216      1082256310   0          323         
217      1086493992   4          314         
218      1092145315   0          337         
219      1096383373   4          315         
220      1102034434   0          366         
221      1106272824   4          315         
222      1111923244   0          320         
223      1116161760   4          324         
224      1121812380   0          326         
225      1126050293   4          322         
226      1126756623   0          340         
227      1127462984   4          315         
228      1132407321   0          324         
229      1135938923   4          324         
230      1142295842   0          324         
231      1146533558   4          336         
232      1152184011   0          320         
233      1156421343   4          357         
234      1162071460   0          316         
235      1166310692   4          314         
236      1171964537   0          332         
237      1176204202   4          333         
238      1181856835   0          321         
239      1186096783   4          329         
240      1186803356   0          358         
241      1187509949   4          322         
242      1192456148   0          325         
243      1195988911   4          315         
244      1202348191   0          356         
245      1206587384   4          322         
246      1212239863   0          315         
247      1216478979   4          323         
248      1222131126   0          325         
