Sensor: 208 Hz DRDY streaming.
Tree:   window=75  mlc_odr=104  decim=2  features=2  nodes=3
Class codes: still=0  motion=4

trans#   t_int_us     new_class  host_dt_us  
Warmup complete (75 MLC samples, 721.2 ms wall).
1        20650736824  4          352         
2        20655681779  0          327         
3        20659919885  4          316         
4        20665570469  0          323         
5        20669808504  4          325         
6        20672633788  0          322         
7        20673340186  4          332         
8        20676165358  0          327         
