05-25-2026 17:59:34 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@729,7%@729,11%@729,2%@729,9%@729,23%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.687C soc2@46.312C soc0@45.968C gpu@47.625C tj@48.406C soc1@48.406C VDD_IN 5103mW/5103mW VDD_CPU_GPU_CV 917mW/917mW VDD_SOC 1435mW/1435mW
05-25-2026 17:59:34 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.687C soc2@46.187C soc0@46.031C gpu@47.343C tj@48.156C soc1@48.156C VDD_IN 4687mW/4895mW VDD_CPU_GPU_CV 600mW/759mW VDD_SOC 1442mW/1439mW
05-25-2026 17:59:35 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.25C soc0@46C gpu@47.468C tj@48.156C soc1@48.156C VDD_IN 4527mW/4772mW VDD_CPU_GPU_CV 520mW/679mW VDD_SOC 1442mW/1440mW
05-25-2026 17:59:35 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@729,16%@729,6%@729,16%@729,26%@883,7%@883] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.25C soc0@46.093C gpu@47.187C tj@48.25C soc1@48.25C VDD_IN 4912mW/4807mW VDD_CPU_GPU_CV 757mW/699mW VDD_SOC 1437mW/1439mW
05-25-2026 17:59:36 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [24%@1242,20%@729,20%@729,22%@729,73%@1728,19%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@46.281C soc0@45.968C gpu@47.437C tj@48.312C soc1@48.312C VDD_IN 5444mW/4935mW VDD_CPU_GPU_CV 1150mW/789mW VDD_SOC 1470mW/1445mW
05-25-2026 17:59:36 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,0%@729,0%@729,3%@729,3%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.25C soc0@46C gpu@47.312C tj@48.218C soc1@48.25C VDD_IN 4872mW/4924mW VDD_CPU_GPU_CV 718mW/777mW VDD_SOC 1437mW/1444mW
05-25-2026 17:59:37 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1320,0%@729,1%@729,1%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.5C soc2@46.218C soc0@46.093C gpu@47.312C tj@48.25C soc1@48.25C VDD_IN 4647mW/4885mW VDD_CPU_GPU_CV 560mW/746mW VDD_SOC 1442mW/1444mW
05-25-2026 17:59:37 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.312C soc0@46C gpu@47.25C tj@48.25C soc1@48.25C VDD_IN 4534mW/4841mW VDD_CPU_GPU_CV 480mW/713mW VDD_SOC 1444mW/1444mW
05-25-2026 17:59:38 RAM 891/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1272,7%@729,7%@729,4%@729,7%@1190,10%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.218C soc0@46.062C gpu@47.125C tj@48.187C soc1@48.218C VDD_IN 4720mW/4827mW VDD_CPU_GPU_CV 638mW/704mW VDD_SOC 1440mW/1443mW
05-25-2026 17:59:38 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [9%@1728,20%@1728,12%@1728,54%@1728,27%@729,47%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.25C soc0@46.125C gpu@47.375C tj@48.187C soc1@48.187C VDD_IN 5246mW/4869mW VDD_CPU_GPU_CV 992mW/733mW VDD_SOC 1470mW/1446mW
05-25-2026 17:59:39 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,10%@1728,15%@1728,2%@1728,10%@729,32%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.312C soc0@45.968C gpu@47.281C tj@48.25C soc1@48.25C VDD_IN 5095mW/4890mW VDD_CPU_GPU_CV 914mW/750mW VDD_SOC 1433mW/1445mW
