09-24-2026 16:04:09 RAM 962/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [25%@1036,22%@1036,21%@1036,32%@1420,21%@1344,56%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49C soc2@47.531C soc0@47.093C gpu@48.531C tj@49.187C soc1@49.187C VDD_IN 5214mW/4872mW VDD_CPU_GPU_CV 993mW/751mW VDD_SOC 1472mW/1447mW
09-24-2026 16:04:09 RAM 963/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [28%@1651,26%@1651,26%@1651,17%@1651,30%@1036,42%@1036] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.031C soc2@47.406C soc0@47.375C gpu@48.343C tj@49.281C soc1@49.281C VDD_IN 5524mW/4918mW VDD_CPU_GPU_CV 1230mW/785mW VDD_SOC 1470mW/1449mW
09-24-2026 16:04:10 RAM 981/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [36%@1728,45%@1728,34%@1728,44%@1728,46%@1728,64%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.968C soc2@47.656C soc0@47.187C gpu@48.406C tj@49.968C soc1@49.375C VDD_IN 6348mW/5013mW VDD_CPU_GPU_CV 2020mW/867mW VDD_SOC 1470mW/1450mW
09-24-2026 16:04:10 RAM 981/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.343C soc2@48.031C soc0@47.218C gpu@48.656C tj@50.343C soc1@49.218C VDD_IN 7777mW/5186mW VDD_CPU_GPU_CV 3559mW/1036mW VDD_SOC 1468mW/1451mW
09-24-2026 16:04:11 RAM 983/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.593C soc2@48.062C soc0@47.437C gpu@49.156C tj@50.593C soc1@49.343C VDD_IN 8174mW/5362mW VDD_CPU_GPU_CV 3994mW/1210mW VDD_SOC 1428mW/1450mW
09-24-2026 16:04:11 RAM 984/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.687C soc2@48.187C soc0@47.468C gpu@48.812C tj@50.687C soc1@49.468C VDD_IN 8412mW/5531mW VDD_CPU_GPU_CV 4113mW/1371mW VDD_SOC 1468mW/1451mW
09-24-2026 16:04:12 RAM 985/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.906C soc2@48.187C soc0@47.531C gpu@49.218C tj@50.906C soc1@49.593C VDD_IN 8372mW/5681mW VDD_CPU_GPU_CV 4152mW/1517mW VDD_SOC 1428mW/1450mW
09-24-2026 16:04:12 RAM 985/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.562C soc2@48.218C soc0@47.687C gpu@49.125C tj@50.562C soc1@49.718C VDD_IN 8372mW/5815mW VDD_CPU_GPU_CV 4192mW/1651mW VDD_SOC 1428mW/1449mW
09-24-2026 16:04:13 RAM 985/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.625C soc2@48.281C soc0@47.5C gpu@49.312C tj@50.625C soc1@49.781C VDD_IN 8332mW/5935mW VDD_CPU_GPU_CV 4192mW/1772mW VDD_SOC 1428mW/1448mW
09-24-2026 16:04:13 RAM 985/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.718C soc2@48.437C soc0@47.5C gpu@49.156C tj@50.718C soc1@49.843C VDD_IN 8332mW/6044mW VDD_CPU_GPU_CV 4192mW/1882mW VDD_SOC 1428mW/1447mW
09-24-2026 16:04:14 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,96%@1728,98%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.781C soc2@48.531C soc0@47.718C gpu@49.281C tj@51.031C soc1@49.718C VDD_IN 8491mW/6151mW VDD_CPU_GPU_CV 4159mW/1981mW VDD_SOC 1468mW/1448mW
09-24-2026 16:04:14 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,98%@1728,100%@1728,98%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.843C soc2@48.468C soc0@47.656C gpu@49.218C tj@50.843C soc1@49.718C VDD_IN 8412mW/6245mW VDD_CPU_GPU_CV 4192mW/2073mW VDD_SOC 1468mW/1448mW
09-24-2026 16:04:15 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.875C soc2@48.468C soc0@47.781C gpu@49.218C tj@50.875C soc1@49.718C VDD_IN 8372mW/6330mW VDD_CPU_GPU_CV 4192mW/2158mW VDD_SOC 1428mW/1448mW
09-24-2026 16:04:15 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.5C soc0@47.812C gpu@49.312C tj@50.843C soc1@49.812C VDD_IN 8332mW/6407mW VDD_CPU_GPU_CV 4192mW/2236mW VDD_SOC 1428mW/1447mW
09-24-2026 16:04:16 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.906C soc2@48.531C soc0@47.937C gpu@49.281C tj@50.906C soc1@49.906C VDD_IN 8332mW/6478mW VDD_CPU_GPU_CV 4192mW/2309mW VDD_SOC 1428mW/1446mW
09-24-2026 16:04:16 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C soc2@48.562C soc0@47.812C gpu@49.281C tj@50.968C soc1@49.906C VDD_IN 8372mW/6546mW VDD_CPU_GPU_CV 4192mW/2376mW VDD_SOC 1428mW/1446mW
09-24-2026 16:04:17 RAM 987/7607MB (lfb 4x4MB) SWAP 0/20188MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@48.562C soc0@47.812C gpu@49.656C tj@51C soc1@49.843C VDD_IN 8372mW/6609mW VDD_CPU_GPU_CV 4192mW/2438mW VDD_SOC 1428mW/1445mW
