trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,1.74794382,2.09004054,2.09183774,1797.1999999999432,True,
1,motion_to_still,6.75666644,8.4451027,8.4462068,1104.1000000009403,True,
2,still_to_motion,11.76542652,11.9755737,11.97643902,865.3200000008354,True,
3,motion_to_still,16.77415374,18.3301711,18.33084526,674.159999999091,True,
4,still_to_motion,21.76456356,21.86113458,21.8616295,494.91999999773384,True,
5,motion_to_still,26.77324256,28.2162434,28.21710482,861.4199999996686,True,
6,still_to_motion,31.78190828,32.45259914,32.45369354,1094.4000000066012,True,
7,motion_to_still,36.77212864,38.80715462,38.80873668,1582.0600000040486,True,
8,still_to_motion,41.78069832,42.33727642,42.33838716,1110.7400000014422,True,
9,motion_to_still,46.78931326,48.69205702,48.69274354,686.5200000021332,True,
10,still_to_motion,51.77948914,52.2221481,52.2237168,1568.6999999999784,True,
11,motion_to_still,56.78815986,58.57678496,58.57745284,667.8800000017304,True,
12,still_to_motion,61.79691928,62.10705414,62.10881308,1758.9399999948796,True,
13,motion_to_still,66.80565648,68.46175454,68.46243486,680.3200000007337,True,
14,still_to_motion,71.79606602,71.99217598,71.99282398,647.9999999982056,True,
15,motion_to_still,76.80463408,78.34674348,78.34782974,1086.2599999938993,True,
16,still_to_motion,81.81340958,81.87707146,81.87774394,672.4800000057485,True,
17,motion_to_still,86.80366218,88.23382508,88.23433608,511.0000000030368,True,
18,still_to_motion,91.81212762,92.4713063,92.4717939,487.59999999958836,True,
19,motion_to_still,96.82041746,98.1202295,98.1209093,679.8000000003412,True,
20,still_to_motion,101.81036416,102.35643146,102.35821228,1780.8200000075658,True,
21,motion_to_still,106.81887538,108.71115392,108.71248954,1335.620000006088,True,
22,still_to_motion,111.82737292,112.24140856,112.24225838,849.819999999113,True,
23,motion_to_still,116.81762186,118.59581594,118.5966616,845.6600000101844,True,
24,still_to_motion,121.82624748,122.12602824,122.12650886,480.6200000047056,True,
25,motion_to_still,126.83493758,128.48127684,128.48282176,1544.9200000148267,True,
26,still_to_motion,131.8252762,132.01281958,132.01331998,500.399999992851,True,
27,motion_to_still,136.8340493,138.3692792,138.37035594,1076.7400000020189,True,
28,still_to_motion,141.84296908,141.90011456,141.90060532,490.7600000194634,True,
29,motion_to_still,146.83361196,148.2549843,148.25656888,1584.5800000136023,True,
30,still_to_motion,151.84255396,152.49230786,152.49281644,508.58000000175707,True,
31,motion_to_still,156.85142096,158.84734976,158.84822134,871.5800000231866,True,
32,still_to_motion,161.84182472,162.37800906,162.37885642,847.3599999945236,True,
33,motion_to_still,166.85069346,,168.73434432,,False,multiple_d1_in_window
34,still_to_motion,171.85953212,,,,False,no_d1_in_window
35,motion_to_still,176.84990276,178.61965528,178.62073102,1075.7400000045436,True,
36,still_to_motion,181.8588118,182.15025896,182.15133984,1080.8799999892926,True,
37,motion_to_still,186.86787356,188.5058905,188.5063899,499.39999999537577,True,
38,still_to_motion,191.85891802,192.03653944,192.03703922,499.77999998418454,True,
39,motion_to_still,196.8683161,198.39180854,198.3935843,1775.7599999868035,True,
40,still_to_motion,201.85933238,201.92225348,201.92309824,844.7600000067723,True,
41,motion_to_still,206.86888766,208.27767626,208.27876338,1087.1199999940018,True,
42,still_to_motion,211.87838722,212.51475348,212.51524136,487.8800000085448,True,
43,motion_to_still,216.8695239,218.87019558,218.87069248,496.90000000168766,True,
44,still_to_motion,221.87905168,222.40119776,222.40186206,664.3000000110533,True,
45,motion_to_still,226.88854522,228.75657166,228.75841528,1843.6200000166991,True,
46,still_to_motion,231.87978144,232.2872139,232.28829504,1081.1399999965943,True,
47,motion_to_still,236.88938658,238.6424977,238.64334698,849.2799999828549,True,
48,still_to_motion,241.88114762,242.17341644,242.17390512,488.679999989472,True,
49,motion_to_still,246.89119082,248.52926728,248.53031402,1046.7399999924965,True,
50,still_to_motion,251.88285054,252.06007868,252.06166134,1582.6599999968494,True,
51,motion_to_still,256.89270388,258.4159694,258.41730922,1339.8199999983262,True,
52,still_to_motion,261.90252388,261.94653734,261.94704122,503.8799999965704,True,
53,motion_to_still,266.89406638,269.0083444,269.00943158,1087.180000013177,True,
54,still_to_motion,271.90394822,272.53897868,272.54096578,1987.100000008013,True,
55,motion_to_still,276.91375764,278.89389474,278.89439492,500.1800000172807,True,
56,still_to_motion,281.9052683,282.42441822,282.42493262,514.3999999859261,True,
57,motion_to_still,286.91503124,288.77937424,288.78004442,670.1800000428193,True,
58,still_to_motion,291.90669302,292.31040342,292.31090628,502.8599999832295,True,
59,motion_to_still,296.91674742,298.66608276,298.66716958,1086.8200000118122,True,
