@relation 'MLC'

@attribute F1_ABS_VARIANCE_ACC_V_FILTER_1 numeric
@attribute F2_ABS_PEAK_TO_PEAK_ACC_V_FILTER_1 numeric
@attribute class {still, motion}

@data
1.7345e-05, 0.0219727, still
2.25902e-05, 0.0239258, still
2.86698e-05, 0.0273438, still
2.61068e-05, 0.0283203, still
1.48416e-05, 0.0185547, still
1.51396e-05, 0.0166016, still
9.29832e-06, 0.0205078, still
1.66297e-05, 0.0214844, still
1.82986e-05, 0.0166016, still
9.89437e-06, 0.0151367, still
2.12193e-05, 0.0268555, still
3.89218e-05, 0.0317383, still
2.01464e-05, 0.0244141, still
1.23978e-05, 0.0146484, still
1.00732e-05, 0.0146484, still
1.04308e-05, 0.0161133, still
1.68085e-05, 0.0195313, still
1.72257e-05, 0.0175781, still
8.9407e-06, 0.0136719, still
1.09673e-05, 0.0151367, still
1.00136e-05, 0.0146484, still
1.26362e-05, 0.0151367, still
1.80602e-05, 0.0200195, still
1.35899e-05, 0.015625, still
1.0848e-05, 0.0151367, still
2.92063e-05, 0.0268555, still
1.12057e-05, 0.0136719, still
1.63317e-05, 0.0161133, still
2.59876e-05, 0.0317383, still
1.03712e-05, 0.0151367, still
9.35793e-06, 0.0146484, still
9.47714e-06, 0.0131836, still
1.43051e-05, 0.0200195, still
1.44243e-05, 0.0170898, still
1.47223e-05, 0.0151367, still
7.7486e-06, 0.0136719, still
5.30481e-06, 0.00976563, still
3.96371e-05, 0.0302734, still
1.57356e-05, 0.0268555, still
3.5584e-05, 0.0263672, still
1.8239e-05, 0.0209961, still
1.5676e-05, 0.0209961, still
1.66893e-05, 0.0185547, still
1.00732e-05, 0.0205078, still
1.74046e-05, 0.0214844, still
1.60336e-05, 0.0219727, still
2.13385e-05, 0.0253906, still
1.36495e-05, 0.0180664, still
1.59144e-05, 0.0175781, still
2.61664e-05, 0.0239258, still
1.07884e-05, 0.0126953, still
8.64267e-06, 0.012207, still
1.66297e-05, 0.019043, still
1.40667e-05, 0.015625, still
2.0206e-05, 0.0224609, still
1.56164e-05, 0.0209961, still
1.26362e-05, 0.0185547, still
7.27177e-06, 0.0180664, still
1.91927e-05, 0.0249023, still
1.91331e-05, 0.0214844, still
1.18613e-05, 0.015625, still
1.00136e-05, 0.0126953, still
2.61664e-05, 0.0249023, still
6.85453e-06, 0.0107422, still
1.23978e-05, 0.0146484, still
1.46627e-05, 0.0161133, still
1.90735e-05, 0.0185547, still
2.83122e-05, 0.0263672, still
1.30534e-05, 0.0146484, still
9.77516e-06, 0.0141602, still
2.15769e-05, 0.0214844, still
2.52724e-05, 0.0268555, still
1.41859e-05, 0.0166016, still
1.52588e-05, 0.0224609, still
1.36495e-05, 0.0180664, still
1.62721e-05, 0.0170898, still
1.20997e-05, 0.0141602, still
1.18017e-05, 0.0195313, still
1.51396e-05, 0.015625, still
1.78218e-05, 0.0195313, still
1.81198e-05, 0.0239258, still
1.52588e-05, 0.0161133, still
1.82986e-05, 0.0195313, still
1.18017e-05, 0.0170898, still
8.46386e-06, 0.015625, still
1.62721e-05, 0.0244141, still
1.46031e-05, 0.0219727, still
1.35303e-05, 0.0146484, still
1.60336e-05, 0.0239258, still
1.25766e-05, 0.0175781, still
1.97291e-05, 0.0229492, still
5.33462e-05, 0.03125, still
1.49012e-05, 0.0224609, still
2.99811e-05, 0.0234375, still
1.43051e-05, 0.015625, still
1.69277e-05, 0.0180664, still
1.508e-05, 0.0170898, still
1.28746e-05, 0.0180664, still
2.54512e-05, 0.0244141, still
1.03116e-05, 0.0180664, still
9.23872e-06, 0.0136719, still
3.06368e-05, 0.0268555, still
1.5974e-05, 0.0214844, still
1.22786e-05, 0.0195313, still
1.2517e-05, 0.0146484, still
6.49691e-06, 0.0102539, still
1.01924e-05, 0.0166016, still
1.69277e-05, 0.0195313, still
1.20997e-05, 0.0146484, still
1.3411e-05, 0.0141602, still
3.73125e-05, 0.0297852, still
1.49012e-05, 0.0214844, still
1.40667e-05, 0.0170898, still
3.22461e-05, 0.0288086, still
1.52588e-05, 0.0195313, still
2.19345e-05, 0.0249023, still
1.0848e-05, 0.0141602, still
1.89543e-05, 0.019043, still
1.30534e-05, 0.0180664, still
1.56164e-05, 0.015625, still
1.63913e-05, 0.0180664, still
1.37687e-05, 0.0185547, still
1.19805e-05, 0.0170898, still
1.17421e-05, 0.0151367, still
1.19209e-05, 0.015625, still
1.16825e-05, 0.019043, still
1.32322e-05, 0.0180664, still
1.055e-05, 0.0126953, still
1.37091e-05, 0.0141602, still
1.88947e-05, 0.019043, still
8.46386e-06, 0.012207, still
1.18613e-05, 0.015625, still
