05-26-2026 13:25:35 RAM 1629/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1728,12%@1728,12%@1728,23%@1728,44%@1728,33%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@46.375C soc0@46.125C gpu@47.312C tj@48.25C soc1@48.25C VDD_IN 6100mW/5553mW VDD_CPU_GPU_CV 1545mW/1084mW VDD_SOC 1507mW/1493mW
05-26-2026 13:25:35 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,6%@1728,7%@1728,9%@1728,2%@1728,26%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.468C soc0@46.187C gpu@47.656C tj@48.281C soc1@48.281C VDD_IN 5704mW/5563mW VDD_CPU_GPU_CV 1188mW/1092mW VDD_SOC 1505mW/1494mW
05-26-2026 13:25:36 RAM 1629/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,12%@1728,15%@1728,14%@1728,36%@1728,25%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@46.468C soc0@46.062C gpu@47.312C tj@48.375C soc1@48.281C VDD_IN 6140mW/5602mW VDD_CPU_GPU_CV 1545mW/1122mW VDD_SOC 1505mW/1495mW
05-26-2026 13:25:37 RAM 1644/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [90%@1728,92%@1728,94%@1728,86%@1728,96%@1728,94%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.406C soc2@46.875C soc0@46.093C gpu@47.812C tj@49.406C soc1@48.375C VDD_IN 7896mW/5745mW VDD_CPU_GPU_CV 3288mW/1257mW VDD_SOC 1507mW/1495mW
05-26-2026 13:25:37 RAM 1644/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.437C soc2@46.968C soc0@46.156C gpu@47.531C tj@49.437C soc1@48.312C VDD_IN 8465mW/5905mW VDD_CPU_GPU_CV 3921mW/1414mW VDD_SOC 1510mW/1496mW
05-26-2026 13:25:38 RAM 1645/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [91%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.437C soc2@47.031C soc0@46.218C gpu@47.906C tj@49.437C soc1@48.343C VDD_IN 8664mW/6058mW VDD_CPU_GPU_CV 4087mW/1562mW VDD_SOC 1510mW/1497mW
05-26-2026 13:25:38 RAM 1645/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.468C soc2@47.093C soc0@46.281C gpu@47.843C tj@49.468C soc1@48.406C VDD_IN 8703mW/6198mW VDD_CPU_GPU_CV 4159mW/1699mW VDD_SOC 1470mW/1496mW
05-26-2026 13:25:39 RAM 1645/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.531C soc2@47.156C soc0@46.406C gpu@48C tj@49.531C soc1@48.562C VDD_IN 8703mW/6323mW VDD_CPU_GPU_CV 4199mW/1824mW VDD_SOC 1470mW/1494mW
05-26-2026 13:25:39 RAM 1645/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.718C soc2@47.187C soc0@46.531C gpu@47.937C tj@49.718C soc1@48.593C VDD_IN 8703mW/6436mW VDD_CPU_GPU_CV 4199mW/1937mW VDD_SOC 1470mW/1493mW
05-26-2026 13:25:40 RAM 1645/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.687C soc2@47.218C soc0@46.437C gpu@48C tj@49.687C soc1@48.593C VDD_IN 8703mW/6539mW VDD_CPU_GPU_CV 4206mW/2040mW VDD_SOC 1470mW/1492mW
05-26-2026 13:25:40 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [98%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.812C soc2@47.312C soc0@46.375C gpu@48.093C tj@49.812C soc1@48.75C VDD_IN 8783mW/6637mW VDD_CPU_GPU_CV 4206mW/2134mW VDD_SOC 1510mW/1493mW
05-26-2026 13:25:41 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.75C soc2@47.218C soc0@46.562C gpu@48.437C tj@49.75C soc1@48.562C VDD_IN 8743mW/6725mW VDD_CPU_GPU_CV 4206mW/2221mW VDD_SOC 1510mW/1494mW
05-26-2026 13:25:41 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.718C soc2@47.375C soc0@46.593C gpu@48.281C tj@49.718C soc1@48.75C VDD_IN 8743mW/6805mW VDD_CPU_GPU_CV 4199mW/2300mW VDD_SOC 1470mW/1493mW
05-26-2026 13:25:42 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.937C soc2@47.406C soc0@46.718C gpu@48.5C tj@49.937C soc1@48.812C VDD_IN 8743mW/6880mW VDD_CPU_GPU_CV 4199mW/2373mW VDD_SOC 1470mW/1492mW
05-26-2026 13:25:42 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.937C soc2@47.531C soc0@46.656C gpu@48.312C tj@49.937C soc1@48.781C VDD_IN 8743mW/6949mW VDD_CPU_GPU_CV 4199mW/2441mW VDD_SOC 1470mW/1491mW
05-26-2026 13:25:43 RAM 1646/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.062C soc2@47.531C soc0@46.593C gpu@48.187C tj@50.062C soc1@48.875C VDD_IN 8743mW/7013mW VDD_CPU_GPU_CV 4199mW/2503mW VDD_SOC 1470mW/1490mW
