trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,2.790883,2.8988691,2.8992457,376.5999999996161,True,
1,motion_to_still,7.80090562,9.25626626,9.25674302,476.75999999974294,True,
2,still_to_motion,12.8110214,13.49410184,13.49448538,383.53999999962696,True,
3,motion_to_still,17.80279726,19.144656,19.14502024,364.2399999996826,True,
4,still_to_motion,22.81302964,23.38238184,23.3827664,384.56000000053336,True,
5,motion_to_still,27.8049728,29.03368282,29.03415262,469.80000000118594,True,
