09-24-2026 18:34:26 RAM 1111/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [14%@1728,18%@1728,10%@1728,16%@1728,44%@1728,24%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.75C soc2@52.843C soc0@53.218C gpu@54.218C tj@54.75C soc1@54.531C VDD_IN 6813mW/6314mW VDD_CPU_GPU_CV 1542mW/1137mW VDD_SOC 2376mW/2361mW
09-24-2026 18:34:27 RAM 1112/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [4%@1728,2%@1728,5%@1728,5%@1728,17%@1728,26%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@52.812C soc0@53.093C gpu@53.906C tj@54.437C soc1@54.312C VDD_IN 6497mW/6327mW VDD_CPU_GPU_CV 1265mW/1147mW VDD_SOC 2376mW/2362mW
09-24-2026 18:34:27 RAM 1112/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@52.75C soc0@53.062C gpu@54.125C tj@54.406C soc1@54.312C VDD_IN 6100mW/6312mW VDD_CPU_GPU_CV 988mW/1136mW VDD_SOC 2337mW/2360mW
09-24-2026 18:34:28 RAM 1112/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.281C soc2@52.625C soc0@53.062C gpu@54.125C tj@54.312C soc1@54.312C VDD_IN 5982mW/6291mW VDD_CPU_GPU_CV 909mW/1122mW VDD_SOC 2337mW/2359mW
09-24-2026 18:34:28 RAM 1112/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.187C soc2@52.718C soc0@53.031C gpu@53.781C tj@54.25C soc1@54.25C VDD_IN 5942mW/6271mW VDD_CPU_GPU_CV 870mW/1107mW VDD_SOC 2337mW/2358mW
09-24-2026 18:34:29 RAM 1111/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [11%@1728,10%@1728,7%@1728,9%@1728,21%@1728,21%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.875C soc2@52.687C soc0@53.062C gpu@54.062C tj@54.875C soc1@54.218C VDD_IN 6457mW/6281mW VDD_CPU_GPU_CV 1265mW/1116mW VDD_SOC 2376mW/2359mW
09-24-2026 18:34:29 RAM 1111/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [7%@1728,1%@1728,27%@1728,2%@1728,7%@1728,2%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@52.562C soc0@53.093C gpu@53.781C tj@54.343C soc1@54.25C VDD_IN 6259mW/6280mW VDD_CPU_GPU_CV 1107mW/1115mW VDD_SOC 2376mW/2360mW
09-24-2026 18:34:30 RAM 1111/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.312C soc2@52.531C soc0@53.093C gpu@53.781C tj@54.312C soc1@54.156C VDD_IN 6061mW/6269mW VDD_CPU_GPU_CV 909mW/1105mW VDD_SOC 2337mW/2358mW
09-24-2026 18:34:30 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.968C soc2@52.5C soc0@53.062C gpu@53.656C tj@54.218C soc1@54.218C VDD_IN 5942mW/6253mW VDD_CPU_GPU_CV 870mW/1094mW VDD_SOC 2337mW/2357mW
09-24-2026 18:34:31 RAM 1110/7607MB (lfb 7x4MB) SWAP 0/20188MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@3199 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54C soc2@52.437C soc0@53.031C gpu@53.718C tj@54.218C soc1@54.218C VDD_IN 5942mW/6239mW VDD_CPU_GPU_CV 870mW/1084mW VDD_SOC 2337mW/2356mW
