05-26-2026 15:35:47 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1728,13%@1728,17%@1728,13%@1728,46%@1728,32%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.25C soc2@49.781C soc0@49.718C gpu@50.718C tj@51.281C soc1@51.281C VDD_IN 5942mW/5585mW VDD_CPU_GPU_CV 1386mW/1101mW VDD_SOC 1505mW/1511mW
05-26-2026 15:35:48 RAM 1631/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1728,14%@1728,10%@1728,19%@1728,70%@1728,45%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.656C soc2@49.625C soc0@49.75C gpu@50.937C tj@51.656C soc1@51.25C VDD_IN 6428mW/5646mW VDD_CPU_GPU_CV 1782mW/1150mW VDD_SOC 1547mW/1514mW
05-26-2026 15:35:48 RAM 1649/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [58%@1728,56%@1728,61%@1728,59%@1728,73%@1728,76%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@49.968C soc0@49.562C gpu@50.843C tj@52.312C soc1@51.281C VDD_IN 7618mW/5777mW VDD_CPU_GPU_CV 2931mW/1269mW VDD_SOC 1547mW/1516mW
05-26-2026 15:35:49 RAM 1649/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.593C soc2@50.062C soc0@49.593C gpu@51.218C tj@52.593C soc1@51.281C VDD_IN 8425mW/5943mW VDD_CPU_GPU_CV 3842mW/1429mW VDD_SOC 1510mW/1516mW
05-26-2026 15:35:49 RAM 1649/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@50.187C soc0@49.843C gpu@51.031C tj@52.781C soc1@51.5C VDD_IN 8703mW/6105mW VDD_CPU_GPU_CV 4087mW/1586mW VDD_SOC 1510mW/1515mW
05-26-2026 15:35:50 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [98%@1728,100%@1728,100%@1728,98%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.75C soc2@50.312C soc0@49.906C gpu@51.25C tj@52.75C soc1@51.562C VDD_IN 8743mW/6251mW VDD_CPU_GPU_CV 4166mW/1729mW VDD_SOC 1510mW/1515mW
05-26-2026 15:35:51 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50.343C soc0@49.718C gpu@51.125C tj@52.906C soc1@51.593C VDD_IN 8743mW/6383mW VDD_CPU_GPU_CV 4206mW/1860mW VDD_SOC 1510mW/1515mW
05-26-2026 15:35:51 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@50.281C soc0@49.781C gpu@51.218C tj@53C soc1@51.406C VDD_IN 8743mW/6501mW VDD_CPU_GPU_CV 4206mW/1977mW VDD_SOC 1510mW/1514mW
05-26-2026 15:35:52 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50.281C soc0@49.687C gpu@51.187C tj@52.906C soc1@51.437C VDD_IN 8743mW/6607mW VDD_CPU_GPU_CV 4206mW/2083mW VDD_SOC 1510mW/1514mW
05-26-2026 15:35:52 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@50.25C soc0@49.781C gpu@51.093C tj@52.906C soc1@51.562C VDD_IN 8783mW/6706mW VDD_CPU_GPU_CV 4206mW/2180mW VDD_SOC 1510mW/1514mW
05-26-2026 15:35:53 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@50.343C soc0@49.937C gpu@51.281C tj@52.968C soc1@51.625C VDD_IN 8823mW/6798mW VDD_CPU_GPU_CV 4206mW/2268mW VDD_SOC 1510mW/1514mW
05-26-2026 15:35:53 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@50.406C soc0@49.781C gpu@51.218C tj@53C soc1@51.5C VDD_IN 8783mW/6881mW VDD_CPU_GPU_CV 4206mW/2348mW VDD_SOC 1510mW/1514mW
05-26-2026 15:35:54 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.875C soc2@50.312C soc0@49.781C gpu@51.093C tj@52.781C soc1@51.593C VDD_IN 8743mW/6955mW VDD_CPU_GPU_CV 4206mW/2423mW VDD_SOC 1510mW/1514mW
05-26-2026 15:35:54 RAM 1650/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@50.343C soc0@49.875C gpu@51.25C tj@52.781C soc1@51.468C VDD_IN 8743mW/7024mW VDD_CPU_GPU_CV 4206mW/2491mW VDD_SOC 1510mW/1513mW
