05-25-2026 18:01:49 RAM 892/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1730,1%@729,3%@729,11%@729,5%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.562C soc0@46.343C gpu@47.656C tj@48.375C soc1@48.375C VDD_IN 4992mW/4992mW VDD_CPU_GPU_CV 838mW/838mW VDD_SOC 1437mW/1437mW
05-25-2026 18:01:50 RAM 892/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.375C soc0@46.218C gpu@47.531C tj@48.312C soc1@48.312C VDD_IN 4687mW/4840mW VDD_CPU_GPU_CV 600mW/719mW VDD_SOC 1442mW/1440mW
05-25-2026 18:01:50 RAM 892/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1337,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.75C soc2@46.375C soc0@46.312C gpu@47.406C tj@48.312C soc1@48.312C VDD_IN 4567mW/4749mW VDD_CPU_GPU_CV 520mW/653mW VDD_SOC 1442mW/1440mW
05-25-2026 18:01:51 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [4%@1420,2%@1420,5%@1420,13%@1420,3%@729,3%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.562C soc0@46.312C gpu@47.718C tj@48.468C soc1@48.468C VDD_IN 4680mW/4732mW VDD_CPU_GPU_CV 560mW/630mW VDD_SOC 1440mW/1440mW
05-25-2026 18:01:52 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [29%@1728,21%@1728,24%@1728,35%@1728,24%@1113,41%@1113] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@46.562C soc0@46.281C gpu@47.468C tj@48.343C soc1@48.406C VDD_IN 5294mW/4844mW VDD_CPU_GPU_CV 1033mW/710mW VDD_SOC 1472mW/1447mW
05-25-2026 18:01:52 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [17%@1124,11%@1728,10%@1728,13%@1728,5%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.5C soc0@46.25C gpu@47.75C tj@48.406C soc1@48.406C VDD_IN 5087mW/4885mW VDD_CPU_GPU_CV 912mW/744mW VDD_SOC 1430mW/1444mW
05-25-2026 18:01:53 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@1728,10%@1728,15%@1728,15%@1725,6%@729,7%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@46.531C soc0@46.156C gpu@47.593C tj@48.468C soc1@48.468C VDD_IN 5047mW/4908mW VDD_CPU_GPU_CV 912mW/768mW VDD_SOC 1430mW/1442mW
05-25-2026 18:01:53 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@1098,15%@1728,12%@1728,17%@1728,24%@729,22%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@46.593C soc0@46.281C gpu@47.718C tj@48.375C soc1@48.375C VDD_IN 5198mW/4944mW VDD_CPU_GPU_CV 1031mW/801mW VDD_SOC 1428mW/1440mW
05-25-2026 18:01:54 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@960,10%@960,10%@960,9%@960,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.656C soc0@46.375C gpu@47.593C tj@48.468C soc1@48.468C VDD_IN 5047mW/4955mW VDD_CPU_GPU_CV 912mW/813mW VDD_SOC 1430mW/1439mW
05-25-2026 18:01:54 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [36%@1728,26%@1728,44%@1728,42%@1728,46%@1113,45%@1113] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.718C soc2@46.625C soc0@46.218C gpu@47.656C tj@48.718C soc1@48.531C VDD_IN 5991mW/5059mW VDD_CPU_GPU_CV 1663mW/898mW VDD_SOC 1468mW/1442mW
05-25-2026 18:01:55 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [22%@1728,16%@1728,28%@1728,21%@1344,23%@1190,19%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@46.625C soc0@46.312C gpu@47.562C tj@48.406C soc1@48.406C VDD_IN 5594mW/5108mW VDD_CPU_GPU_CV 1346mW/939mW VDD_SOC 1468mW/1444mW
05-25-2026 18:01:55 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@1728,25%@1728,32%@1728,28%@1728,66%@1651,35%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@46.718C soc0@46.406C gpu@47.968C tj@48.562C soc1@48.562C VDD_IN 6150mW/5195mW VDD_CPU_GPU_CV 1743mW/1006mW VDD_SOC 1507mW/1450mW
05-25-2026 18:01:56 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1331,7%@729,14%@729,9%@729,20%@1728,16%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@46.562C soc0@46.25C gpu@47.781C tj@48.625C soc1@48.625C VDD_IN 5453mW/5214mW VDD_CPU_GPU_CV 1192mW/1020mW VDD_SOC 1472mW/1451mW
05-25-2026 18:01:56 RAM 893/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [9%@1728,9%@1728,9%@1105,9%@729,14%@729,21%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.593C soc0@46.281C gpu@47.531C tj@48.437C soc1@48.437C VDD_IN 5111mW/5207mW VDD_CPU_GPU_CV 917mW/1013mW VDD_SOC 1437mW/1450mW
05-25-2026 18:01:57 RAM 893/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1354,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.687C soc2@46.5C soc0@46.218C gpu@47.406C tj@48.406C soc1@48.406C VDD_IN 4687mW/5172mW VDD_CPU_GPU_CV 600mW/985mW VDD_SOC 1442mW/1450mW
