@relation 'MLC'

@attribute F1_ABS_VARIANCE_ACC_V_FILTER_1 numeric
@attribute F2_ABS_PEAK_TO_PEAK_ACC_V_FILTER_1 numeric
@attribute class {still, motion}

@data
0.000871658, 0.103027, still
6.3777e-05, 0.0307617, still
2.38419e-06, 0.00634766, still
1.82986e-05, 0.0151367, still
1.37091e-05, 0.0126953, still
1.93119e-05, 0.0126953, still
1.9908e-05, 0.0126953, still
1.29342e-05, 0.0107422, still
3.69549e-06, 0.00585938, still
1.04308e-05, 0.0107422, still
1.67489e-05, 0.012207, still
1.13249e-06, 0.00585938, still
4.69089e-05, 0.0214844, still
1.68681e-05, 0.0141602, still
4.47035e-06, 0.00830078, still
5.66244e-06, 0.00830078, still
4.36306e-05, 0.0219727, still
2.72393e-05, 0.0209961, still
6.13928e-06, 0.00927734, still
5.72205e-06, 0.00878906, still
9.11951e-06, 0.0107422, still
3.64184e-05, 0.019043, still
1.72853e-05, 0.0136719, still
1.46031e-05, 0.0166016, still
9.65595e-06, 0.0102539, still
1.5676e-05, 0.015625, still
4.50015e-05, 0.0205078, still
2.21729e-05, 0.0141602, still
1.13249e-05, 0.012207, still
4.3869e-05, 0.0239258, still
8.03471e-05, 0.0258789, still
1.87755e-05, 0.0175781, still
2.8789e-05, 0.0180664, still
9.29832e-06, 0.0102539, still
4.29153e-06, 0.0112305, still
1.74642e-05, 0.015625, still
6.97374e-06, 0.00927734, still
6.27041e-05, 0.0273438, still
4.69089e-05, 0.0258789, still
3.38554e-05, 0.0170898, still
1.055e-05, 0.0102539, still
1.62125e-05, 0.012207, still
1.2219e-05, 0.00976563, still
6.09159e-05, 0.0283203, still
1.7643e-05, 0.0200195, still
9.71556e-06, 0.00927734, still
2.83718e-05, 0.0170898, still
1.66893e-05, 0.0117188, still
8.88109e-06, 0.00976563, still
1.0252e-05, 0.0126953, still
1.42455e-05, 0.0141602, still
1.20401e-05, 0.0102539, still
2.66433e-05, 0.0185547, still
1.60933e-06, 0.00537109, still
3.8743e-06, 0.0078125, still
4.07696e-05, 0.0166016, still
1.49012e-05, 0.0151367, still
2.22921e-05, 0.0141602, still
1.2815e-05, 0.0112305, still
4.35114e-06, 0.0078125, still
1.46031e-05, 0.00976563, still
7.51019e-06, 0.0112305, still
5.90086e-06, 0.00927734, still
3.15905e-06, 0.00732422, still
3.69549e-06, 0.00683594, still
5.24521e-06, 0.00976563, still
3.32594e-05, 0.0205078, still
1.0848e-05, 0.00976563, still
6.73532e-06, 0.00927734, still
5.90086e-06, 0.00927734, still
4.39286e-05, 0.0214844, still
2.03848e-05, 0.0161133, still
3.15905e-06, 0.00585938, still
1.2219e-05, 0.00976563, still
1.00136e-05, 0.00976563, still
2.43783e-05, 0.0131836, still
7.98702e-06, 0.0107422, still
1.07288e-05, 0.00976563, still
1.30534e-05, 0.0161133, still
1.88947e-05, 0.0126953, still
3.88622e-05, 0.0166016, still
1.15037e-05, 0.00976563, still
1.98483e-05, 0.015625, still
2.00868e-05, 0.0117188, still
1.63317e-05, 0.00976563, still
7.03335e-06, 0.00830078, still
4.82798e-06, 0.00830078, still
3.93391e-06, 0.00878906, still
1.54972e-06, 0.00634766, still
1.64509e-05, 0.0151367, still
6.02007e-06, 0.00830078, still
2.41399e-05, 0.012207, still
9.41753e-06, 0.0107422, still
1.27554e-05, 0.0126953, still
4.14848e-05, 0.019043, still
2.68221e-06, 0.00732422, still
2.12789e-05, 0.0166016, still
5.40018e-05, 0.0268555, still
1.51396e-05, 0.0126953, still
1.43051e-05, 0.0102539, still
7.21216e-06, 0.00976563, still
1.34706e-05, 0.0107422, still
7.52211e-05, 0.0317383, still
3.52263e-05, 0.0175781, still
5.19753e-05, 0.0209961, still
2.8491e-05, 0.0200195, still
6.59823e-05, 0.0258789, still
8.34465e-06, 0.00976563, still
2.8789e-05, 0.0151367, still
1.7345e-05, 0.0141602, still
8.46386e-06, 0.0107422, still
9.47714e-06, 0.0102539, still
8.76188e-06, 0.0078125, still
3.06964e-05, 0.0166016, still
1.90735e-06, 0.00585938, still
1.69873e-05, 0.0136719, still
6.44922e-05, 0.0244141, still
2.00272e-05, 0.0136719, still
2.92063e-06, 0.00683594, still
5.60284e-06, 0.0078125, still
1.64509e-05, 0.0136719, still
1.65701e-05, 0.0146484, still
1.11461e-05, 0.0102539, still
1.10269e-05, 0.012207, still
2.14577e-05, 0.012207, still
1.42455e-05, 0.0131836, still
2.92063e-06, 0.00683594, still
1.78814e-05, 0.0107422, still
8.76188e-06, 0.0112305, still
5.126e-06, 0.0078125, still
1.3113e-06, 0.00390625, still
9.89437e-06, 0.0102539, still
2.34246e-05, 0.0146484, still
1.0848e-05, 0.0112305, still
2.86102e-06, 0.00488281, still
6.61612e-06, 0.0078125, still
4.29153e-06, 0.00927734, still
1.75238e-05, 0.012207, still
7.92742e-06, 0.0117188, still
4.76837e-06, 0.0102539, still
6.49691e-06, 0.00927734, still
3.3021e-05, 0.0161133, still
2.53916e-05, 0.0180664, still
2.12193e-05, 0.0136719, still
5.90086e-06, 0.0078125, still
6.3777e-06, 0.00976563, still
9.05991e-06, 0.0112305, still
4.53591e-05, 0.0195313, still
1.54376e-05, 0.0136719, still
5.84126e-06, 0.012207, still
9.65595e-06, 0.00878906, still
1.13249e-05, 0.0117188, still
3.71337e-05, 0.0175781, still
8.34465e-06, 0.0102539, still
2.08616e-06, 0.00537109, still
1.37091e-05, 0.0117188, still
2.3067e-05, 0.0151367, still
3.26037e-05, 0.0151367, still
1.90139e-05, 0.0131836, still
1.19209e-06, 0.00439453, still
3.33786e-06, 0.00927734, still
1.37687e-05, 0.0136719, still
8.64267e-06, 0.00927734, still
5.90086e-06, 0.0117188, still
6.79493e-06, 0.012207, still
1.32322e-05, 0.0136719, still
2.80142e-06, 0.00585938, still
2.28286e-05, 0.0151367, still
8.70228e-06, 0.00927734, still
1.24574e-05, 0.0102539, still
1.31726e-05, 0.012207, still
7.689e-06, 0.0102539, still
1.2219e-05, 0.0117188, still
7.56979e-06, 0.0117188, still
1.84774e-06, 0.00537109, still
6.91414e-06, 0.00927734, still
7.15256e-06, 0.00830078, still
1.84774e-05, 0.0141602, still
1.06096e-05, 0.00927734, still
9.47714e-06, 0.0107422, still
9.53674e-06, 0.0102539, still
1.60933e-05, 0.0146484, still
2.25902e-05, 0.0151367, still
6.19888e-06, 0.0117188, still
7.45058e-06, 0.00878906, still
5.60284e-06, 0.00976563, still
8.9407e-06, 0.00976563, still
1.96099e-05, 0.012207, still
2.06828e-05, 0.0141602, still
9.65595e-06, 0.00927734, still
1.34706e-05, 0.0102539, still
2.70009e-05, 0.0141602, still
8.70228e-06, 0.00927734, still
2.31266e-05, 0.015625, still
3.62396e-05, 0.0200195, still
1.11461e-05, 0.0102539, still
5.72205e-06, 0.0102539, still
1.87159e-05, 0.0141602, still
6.07967e-06, 0.0102539, still
2.94447e-05, 0.0151367, still
1.01924e-05, 0.012207, still
