05-25-2026 12:27:09 RAM 875/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.218C soc2@47.656C soc0@46.906C gpu@48.625C tj@50.218C soc1@49.062C VDD_IN 8081mW/5132mW VDD_CPU_GPU_CV 3915mW/1042mW VDD_SOC 1428mW/1445mW
05-25-2026 12:27:09 RAM 876/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,98%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.125C soc2@47.75C soc0@47C gpu@48.406C tj@50.125C soc1@49.156C VDD_IN 8372mW/5363mW VDD_CPU_GPU_CV 4113mW/1262mW VDD_SOC 1468mW/1446mW
05-25-2026 12:27:10 RAM 877/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.343C soc2@47.875C soc0@47.125C gpu@48.75C tj@50.343C soc1@49.218C VDD_IN 8398mW/5566mW VDD_CPU_GPU_CV 4152mW/1454mW VDD_SOC 1426mW/1445mW
05-25-2026 12:27:10 RAM 877/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.406C soc2@48C soc0@47.187C gpu@48.562C tj@50.406C soc1@49.25C VDD_IN 8358mW/5740mW VDD_CPU_GPU_CV 4192mW/1626mW VDD_SOC 1426mW/1444mW
05-25-2026 12:27:11 RAM 877/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.5C soc2@48.031C soc0@47.25C gpu@48.843C tj@50.5C soc1@49.281C VDD_IN 8358mW/5894mW VDD_CPU_GPU_CV 4192mW/1777mW VDD_SOC 1426mW/1443mW
05-25-2026 12:27:11 RAM 877/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.656C soc2@48.125C soc0@47.156C gpu@49.093C tj@50.656C soc1@49.468C VDD_IN 8358mW/6031mW VDD_CPU_GPU_CV 4192mW/1911mW VDD_SOC 1426mW/1442mW
05-25-2026 12:27:12 RAM 879/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.906C soc2@48.187C soc0@47.218C gpu@48.812C tj@50.906C soc1@49.468C VDD_IN 8531mW/6163mW VDD_CPU_GPU_CV 4192mW/2031mW VDD_SOC 1468mW/1443mW
05-25-2026 12:27:12 RAM 879/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [96%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.468C soc2@48.125C soc0@47.312C gpu@49.093C tj@50.468C soc1@49.343C VDD_IN 8570mW/6283mW VDD_CPU_GPU_CV 4192mW/2139mW VDD_SOC 1468mW/1444mW
05-25-2026 12:27:13 RAM 882/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.562C soc2@48.156C soc0@47.312C gpu@49C tj@50.562C soc1@49.437C VDD_IN 8531mW/6390mW VDD_CPU_GPU_CV 4192mW/2237mW VDD_SOC 1468mW/1445mW
05-25-2026 12:27:13 RAM 883/7607MB (lfb 7x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.656C soc2@48.218C soc0@47.468C gpu@48.906C tj@50.656C soc1@49.625C VDD_IN 8438mW/6483mW VDD_CPU_GPU_CV 4192mW/2326mW VDD_SOC 1465mW/1446mW
