05-25-2026 12:23:56 RAM 896/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.625C soc2@48.031C soc0@47.281C gpu@48.875C tj@50.625C soc1@49.281C VDD_IN 8531mW/7071mW VDD_CPU_GPU_CV 4192mW/2874mW VDD_SOC 1468mW/1443mW
05-25-2026 12:23:56 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.718C soc2@48C soc0@47.093C gpu@48.781C tj@50.718C soc1@49.531C VDD_IN 8531mW/7175mW VDD_CPU_GPU_CV 4192mW/2968mW VDD_SOC 1468mW/1445mW
05-25-2026 12:23:57 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.781C soc2@48.031C soc0@47.25C gpu@48.812C tj@50.781C soc1@49.312C VDD_IN 8438mW/7259mW VDD_CPU_GPU_CV 4192mW/3050mW VDD_SOC 1465mW/1446mW
05-25-2026 12:23:57 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.468C soc2@48.062C soc0@47.187C gpu@48.812C tj@50.468C soc1@49.312C VDD_IN 8398mW/7331mW VDD_CPU_GPU_CV 4192mW/3121mW VDD_SOC 1426mW/1445mW
05-25-2026 12:23:58 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.468C soc2@48.125C soc0@47.25C gpu@48.781C tj@50.468C soc1@49.312C VDD_IN 8358mW/7391mW VDD_CPU_GPU_CV 4192mW/3184mW VDD_SOC 1426mW/1444mW
05-25-2026 12:23:58 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.531C soc2@48.218C soc0@47.281C gpu@48.875C tj@50.531C soc1@49.375C VDD_IN 8358mW/7445mW VDD_CPU_GPU_CV 4192mW/3240mW VDD_SOC 1426mW/1443mW
05-25-2026 12:23:59 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.625C soc2@48.156C soc0@47.375C gpu@49.312C tj@50.625C soc1@49.437C VDD_IN 8358mW/7493mW VDD_CPU_GPU_CV 4192mW/3290mW VDD_SOC 1426mW/1442mW
05-25-2026 12:23:59 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.656C soc2@48.218C soc0@47.468C gpu@48.906C tj@50.656C soc1@49.562C VDD_IN 8358mW/7536mW VDD_CPU_GPU_CV 4192mW/3335mW VDD_SOC 1426mW/1441mW
05-25-2026 12:24:00 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.75C soc2@48.375C soc0@47.437C gpu@49.281C tj@50.75C soc1@49.656C VDD_IN 8358mW/7575mW VDD_CPU_GPU_CV 4192mW/3376mW VDD_SOC 1426mW/1441mW
05-25-2026 12:24:00 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.906C soc2@48.343C soc0@47.468C gpu@49C tj@50.906C soc1@49.718C VDD_IN 8358mW/7611mW VDD_CPU_GPU_CV 4192mW/3413mW VDD_SOC 1426mW/1440mW
05-25-2026 12:24:01 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@48.281C soc0@47.5C gpu@49.281C tj@50.937C soc1@49.5C VDD_IN 8319mW/7642mW VDD_CPU_GPU_CV 4192mW/3447mW VDD_SOC 1426mW/1439mW
05-25-2026 12:24:01 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.656C soc2@48.375C soc0@47.5C gpu@49.062C tj@50.656C soc1@49.625C VDD_IN 8319mW/7670mW VDD_CPU_GPU_CV 4192mW/3478mW VDD_SOC 1426mW/1439mW
05-25-2026 12:24:02 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.687C soc2@48.343C soc0@47.562C gpu@49.187C tj@50.687C soc1@49.531C VDD_IN 8319mW/7696mW VDD_CPU_GPU_CV 4192mW/3507mW VDD_SOC 1426mW/1438mW
05-25-2026 12:24:02 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.812C soc2@48.437C soc0@47.625C gpu@49.437C tj@50.812C soc1@49.656C VDD_IN 8319mW/7720mW VDD_CPU_GPU_CV 4192mW/3533mW VDD_SOC 1426mW/1438mW
05-25-2026 12:24:03 RAM 897/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.843C soc2@48.375C soc0@47.687C gpu@49.281C tj@50.843C soc1@49.75C VDD_IN 8358mW/7743mW VDD_CPU_GPU_CV 4192mW/3558mW VDD_SOC 1426mW/1437mW
