05-26-2026 16:33:43 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@1728,10%@1728,20%@1728,22%@1728,11%@1728,13%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.593C soc2@44.562C soc0@44.218C gpu@45.437C tj@46.593C soc1@46.437C VDD_IN 5952mW/5346mW VDD_CPU_GPU_CV 1426mW/926mW VDD_SOC 1507mW/1475mW
05-26-2026 16:33:44 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [30%@1728,35%@1728,49%@1728,31%@1728,19%@1728,17%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.156C soc2@44.656C soc0@44.281C gpu@45.812C tj@46.437C soc1@46.437C VDD_IN 6309mW/5415mW VDD_CPU_GPU_CV 1703mW/981mW VDD_SOC 1507mW/1477mW
05-26-2026 16:33:44 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.093C soc2@44.656C soc0@44.375C gpu@45.531C tj@46.562C soc1@46.562C VDD_IN 5506mW/5421mW VDD_CPU_GPU_CV 1069mW/987mW VDD_SOC 1505mW/1479mW
05-26-2026 16:33:45 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.843C soc2@44.406C soc0@44.187C gpu@45.593C tj@46.468C soc1@46.468C VDD_IN 5268mW/5411mW VDD_CPU_GPU_CV 871mW/980mW VDD_SOC 1468mW/1478mW
05-26-2026 16:33:45 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.875C soc2@44.437C soc0@44.187C gpu@45.687C tj@46.406C soc1@46.406C VDD_IN 5189mW/5398mW VDD_CPU_GPU_CV 792mW/969mW VDD_SOC 1465mW/1478mW
05-26-2026 16:33:46 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,1%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.875C soc2@44.437C soc0@44.343C gpu@45.5C tj@46.468C soc1@46.5C VDD_IN 5198mW/5387mW VDD_CPU_GPU_CV 792mW/959mW VDD_SOC 1468mW/1477mW
05-26-2026 16:33:46 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,1%@1728,0%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46C soc2@44.5C soc0@44.343C gpu@45.468C tj@46.437C soc1@46.437C VDD_IN 5198mW/5377mW VDD_CPU_GPU_CV 792mW/950mW VDD_SOC 1468mW/1477mW
05-26-2026 16:33:47 RAM 1630/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,11%@1728,5%@1728,4%@1728,6%@1728,1%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.406C soc2@44.593C soc0@44.187C gpu@45.5C tj@46.562C soc1@46.562C VDD_IN 5515mW/5384mW VDD_CPU_GPU_CV 1030mW/954mW VDD_SOC 1507mW/1478mW
05-26-2026 16:33:48 RAM 1630/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [36%@1728,22%@1728,24%@1728,27%@1728,46%@1728,35%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.5C soc2@44.656C soc0@44.187C gpu@45.5C tj@46.5C soc1@46.468C VDD_IN 6309mW/5428mW VDD_CPU_GPU_CV 1703mW/990mW VDD_SOC 1507mW/1479mW
05-26-2026 16:33:48 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,3%@1728,0%@1728,1%@1728,3%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.093C soc2@44.562C soc0@44.187C gpu@45.562C tj@46.375C soc1@46.5C VDD_IN 5515mW/5432mW VDD_CPU_GPU_CV 1069mW/994mW VDD_SOC 1507mW/1481mW
05-26-2026 16:33:49 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,1%@1728,1%@1728,1%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.843C soc2@44.437C soc0@44.218C gpu@45.5C tj@46.437C soc1@46.437C VDD_IN 5317mW/5427mW VDD_CPU_GPU_CV 871mW/988mW VDD_SOC 1468mW/1480mW
05-26-2026 16:33:49 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.843C soc2@44.5C soc0@44.218C gpu@45.468C tj@46.406C soc1@46.406C VDD_IN 5198mW/5417mW VDD_CPU_GPU_CV 792mW/980mW VDD_SOC 1468mW/1480mW
05-26-2026 16:33:50 RAM 1628/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1728,1%@1728,0%@1728,1%@1728,1%@1728,3%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.218C soc2@44.437C soc0@44.343C gpu@45.375C tj@46.468C soc1@46.468C VDD_IN 5237mW/5410mW VDD_CPU_GPU_CV 831mW/974mW VDD_SOC 1468mW/1479mW
05-26-2026 16:33:50 RAM 1629/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1728,6%@1728,21%@1728,17%@1728,7%@1728,9%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.125C soc2@44.468C soc0@44.25C gpu@45.531C tj@46.343C soc1@46.343C VDD_IN 5515mW/5414mW VDD_CPU_GPU_CV 1069mW/978mW VDD_SOC 1468mW/1479mW
