block,d0_s,triple_ok,mlc0_src,sched_ms,triple_ms,strobe_ms,d0_d1_ms
b007-mlc-stress,219.1375933,1,0x00,0.0784,0.4012,0.0325,0.5121
b007-mlc-stress,223.3743607,1,0x04,0.0817,0.4119,0.0321,0.5257
b007-mlc-stress,229.0229909,1,0x00,0.0771,0.3973,0.0319,0.5062
b007-mlc-stress,233.2600763,1,0x04,0.077,0.3989,0.0314,0.5073
b007-mlc-stress,238.9092354,1,0x00,0.0755,0.3991,0.0316,0.5061
b007-mlc-stress,243.1458623,1,0x04,0.0899,0.4877,0.038,0.6156
b007-mlc-stress,249.5010538,1,0x00,0.0868,0.4119,0.0328,0.5315
b007-mlc-stress,253.0316213,1,0x04,0.082,0.4136,0.0331,0.5288
b007-mlc-stress,259.3871983,1,0x00,0.0843,0.4144,0.0328,0.5316
b007-mlc-stress,262.9176141,1,0x04,0.0759,0.4154,0.0367,0.528
b007-mlc-stress,269.2722657,1,0x00,0.0792,0.4136,0.0339,0.5267
b007-mlc-stress,273.5091521,1,0x04,0.0806,0.4142,0.035,0.5298
b007-mlc-stress,279.1582199,1,0x00,0.081,0.4143,0.0349,0.5302
b007-mlc-stress,283.3950375,1,0x04,0.083,0.4111,0.0358,0.5299
b007-mlc-stress,289.750115,1,0x00,0.082,0.4051,0.03,0.5171
b007-mlc-stress,293.280736,1,0x04,0.0769,0.405,0.0317,0.5136
b007-mlc-stress,299.6351064,1,0x00,0.0823,0.4178,0.0347,0.5348
