05-25-2026 18:06:22 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,6%@729,7%@729,7%@729,0%@729,20%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@46.625C soc0@46.468C gpu@47.656C tj@48.531C soc1@48.531C VDD_IN 4912mW/4912mW VDD_CPU_GPU_CV 797mW/797mW VDD_SOC 1437mW/1437mW
05-25-2026 18:06:22 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.562C soc0@46.5C gpu@47.781C tj@48.562C soc1@48.562C VDD_IN 4647mW/4780mW VDD_CPU_GPU_CV 560mW/679mW VDD_SOC 1442mW/1440mW
05-25-2026 18:06:23 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.593C soc0@46.562C gpu@47.656C tj@48.656C soc1@48.656C VDD_IN 4527mW/4695mW VDD_CPU_GPU_CV 480mW/612mW VDD_SOC 1442mW/1440mW
05-25-2026 18:06:24 RAM 887/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [21%@1574,13%@1574,12%@1574,18%@1574,11%@729,9%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.781C soc0@46.375C gpu@47.656C tj@48.687C soc1@48.656C VDD_IN 5071mW/4789mW VDD_CPU_GPU_CV 877mW/679mW VDD_SOC 1477mW/1450mW
05-25-2026 18:06:24 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@1728,40%@1728,15%@1728,17%@1728,30%@729,22%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@46.687C soc0@46.437C gpu@48.062C tj@48.562C soc1@48.562C VDD_IN 5405mW/4912mW VDD_CPU_GPU_CV 1150mW/773mW VDD_SOC 1470mW/1454mW
05-25-2026 18:06:25 RAM 889/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,11%@1728,10%@1728,2%@1728,21%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.718C soc0@46.468C gpu@47.812C tj@48.593C soc1@48.593C VDD_IN 5079mW/4940mW VDD_CPU_GPU_CV 912mW/796mW VDD_SOC 1428mW/1449mW
05-25-2026 18:06:25 RAM 887/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,21%@1728,32%@1728,7%@1435,24%@729,12%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@46.812C soc0@46.406C gpu@47.968C tj@48.75C soc1@48.75C VDD_IN 5317mW/4994mW VDD_CPU_GPU_CV 1109mW/841mW VDD_SOC 1468mW/1452mW
05-25-2026 18:06:26 RAM 887/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@729,0%@729,7%@729,1%@1177,26%@729,24%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.093C soc2@46.718C soc0@46.437C gpu@47.687C tj@48.593C soc1@48.593C VDD_IN 5039mW/5000mW VDD_CPU_GPU_CV 911mW/850mW VDD_SOC 1428mW/1449mW
05-25-2026 18:06:26 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@1728,17%@1728,11%@1728,10%@1728,21%@729,19%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.625C soc2@46.812C soc0@46.468C gpu@47.593C tj@48.625C soc1@48.593C VDD_IN 5237mW/5026mW VDD_CPU_GPU_CV 1030mW/870mW VDD_SOC 1468mW/1451mW
05-25-2026 18:06:27 RAM 888/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [35%@729,28%@729,40%@1173,26%@1177,36%@729,45%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.562C soc2@46.75C soc0@46.375C gpu@47.812C tj@48.562C soc1@48.531C VDD_IN 5863mW/5110mW VDD_CPU_GPU_CV 1545mW/937mW VDD_SOC 1468mW/1453mW
05-25-2026 18:06:27 RAM 890/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@1728,23%@1728,20%@1728,33%@1728,36%@729,34%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.75C soc2@46.906C soc0@46.5C gpu@47.75C tj@48.75C soc1@48.593C VDD_IN 5942mW/5185mW VDD_CPU_GPU_CV 1624mW/1000mW VDD_SOC 1465mW/1454mW
