Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.016530080,0,0,1
0.017911560,0,0,0
0.034962360,0,0,1
0.036344020,0,0,0
0.053394660,0,0,1
0.054776120,0,0,0
0.071825920,0,0,1
0.073207640,0,0,0
0.090256960,0,0,1
0.091638600,0,0,0
0.108686580,0,0,1
0.110067800,0,0,0
0.127116840,0,0,1
0.128498220,0,0,0
0.145546120,0,0,1
0.146927680,0,0,0
0.163976900,0,0,1
0.165358360,0,0,0
0.182407760,0,0,1
0.183789300,0,0,0
0.200839220,0,0,1
0.202220740,0,0,0
0.219270080,0,0,1
0.220651720,0,0,0
0.237701000,0,0,1
0.239082620,0,0,0
0.256132420,0,0,1
0.257514100,0,0,0
0.274563520,0,0,1
0.275944960,0,0,0
0.292994360,0,0,1
0.294375840,0,0,0
0.311424420,0,0,1
0.312806040,0,0,0
0.329856180,0,0,1
0.331237680,0,0,0
0.348286660,0,0,1
0.349668300,0,0,0
0.366716380,0,0,1
0.368097620,0,0,0
0.385146840,0,0,1
0.386528480,0,0,0
0.403577940,0,0,1
0.404959520,0,0,0
0.422009120,0,0,1
0.423390580,0,0,0
0.440438760,0,0,1
0.441820000,0,0,0
0.458869120,0,0,1
0.460250660,0,0,0
0.477299380,0,0,1
0.478680940,0,0,0
0.495728400,0,0,1
0.497109640,0,0,0
0.514157820,0,0,1
0.515539040,0,0,0
0.532587320,0,0,1
0.533968860,0,0,0
0.551017140,0,0,1
0.552398740,0,0,0
0.569447040,0,0,1
0.570828220,0,0,0
0.587877300,0,0,1
0.589258840,0,0,0
0.606308600,0,0,1
0.607690080,0,0,0
0.624739820,0,0,1
0.626121160,0,0,0
0.643170040,0,0,1
0.644551340,0,0,0
0.661600600,0,0,1
0.662982200,0,0,0
0.680033380,0,0,1
0.681415100,0,0,0
0.698465160,0,0,1
0.699846820,0,0,0
0.716897380,0,0,1
0.718278760,0,0,0
0.735328980,0,0,1
0.736710600,0,0,0
0.753760200,0,0,1
0.755141900,0,0,0
0.772190700,0,0,1
0.773572000,0,0,0
0.790621420,0,0,1
0.792002680,0,0,0
0.809052460,0,0,1
0.810433800,0,0,0
0.827482060,0,0,1
0.828863580,0,0,0
0.845913740,0,0,1
0.847295260,0,0,0
0.864342560,0,0,1
0.865724080,0,0,0
0.882772760,0,0,1
0.884154440,0,0,0
0.901202460,0,0,1
0.902583980,0,0,0
0.919633220,0,0,1
0.921014880,0,0,0
0.938064020,0,0,1
0.939445640,0,0,0
0.956495640,0,0,1
0.957877280,0,0,0
0.974926780,0,0,1
0.976308440,0,0,0
0.993357780,0,0,1
0.994739420,0,0,0
1.011789260,0,0,1
1.013170700,0,0,0
1.030219660,0,0,1
1.031600900,0,0,0
1.048650400,0,0,1
1.050031880,0,0,0
1.067081920,0,0,1
1.068463420,0,0,0
1.074869280,0,1,0
1.084975920,0,0,0
1.085513100,0,0,1
1.086894740,0,0,0
1.103944400,0,0,1
1.105325980,0,0,0
1.122376740,0,0,1
1.123758380,0,0,0
1.140807640,0,0,1
1.142189260,0,0,0
1.159237420,0,0,1
1.160618700,0,0,0
1.177668600,0,0,1
1.179050120,0,0,0
1.196098700,0,0,1
1.197480380,0,0,0
1.214529900,0,0,1
1.215911660,0,0,0
1.232961720,0,0,1
1.234343080,0,0,0
1.251391700,0,0,1
1.252773360,0,0,0
1.269822680,0,0,1
1.271204400,0,0,0
1.288253460,0,0,1
