05-26-2026 15:04:32 RAM 1619/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,13%@1728,15%@1728,15%@1728,22%@1728,16%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.281C soc2@45.625C soc0@45.468C gpu@46.625C tj@47.5C soc1@47.5C VDD_IN 5704mW/5510mW VDD_CPU_GPU_CV 1228mW/1063mW VDD_SOC 1505mW/1484mW
05-26-2026 15:04:32 RAM 1621/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,33%@1728,12%@1728,14%@1728,8%@1728,33%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.218C soc2@45.718C soc0@45.5C gpu@46.718C tj@47.562C soc1@47.562C VDD_IN 5982mW/5544mW VDD_CPU_GPU_CV 1465mW/1092mW VDD_SOC 1505mW/1485mW
05-26-2026 15:04:33 RAM 1623/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1728,32%@1728,21%@1728,18%@1728,20%@1728,26%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.343C soc2@45.75C soc0@45.468C gpu@46.687C tj@47.531C soc1@47.531C VDD_IN 6140mW/5583mW VDD_CPU_GPU_CV 1584mW/1124mW VDD_SOC 1505mW/1487mW
05-26-2026 15:04:33 RAM 1622/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [82%@1728,82%@1728,81%@1728,83%@1728,79%@1728,84%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@46.093C soc0@45.5C gpu@46.843C tj@48.5C soc1@47.593C VDD_IN 7750mW/5719mW VDD_CPU_GPU_CV 3169mW/1252mW VDD_SOC 1510mW/1488mW
05-26-2026 15:04:34 RAM 1622/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.718C soc2@46.343C soc0@45.562C gpu@46.906C tj@48.718C soc1@47.781C VDD_IN 8425mW/5878mW VDD_CPU_GPU_CV 3888mW/1407mW VDD_SOC 1470mW/1487mW
05-26-2026 15:04:34 RAM 1625/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,98%@1728,94%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.875C soc2@46.468C soc0@45.593C gpu@47.343C tj@48.875C soc1@47.906C VDD_IN 8664mW/6033mW VDD_CPU_GPU_CV 4087mW/1556mW VDD_SOC 1510mW/1488mW
05-26-2026 15:04:35 RAM 1625/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.031C soc2@46.437C soc0@45.625C gpu@47.281C tj@49.031C soc1@47.812C VDD_IN 8703mW/6173mW VDD_CPU_GPU_CV 4159mW/1693mW VDD_SOC 1510mW/1489mW
05-26-2026 15:04:35 RAM 1625/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.093C soc2@46.5C soc0@45.593C gpu@47.187C tj@49.093C soc1@47.906C VDD_IN 8703mW/6300mW VDD_CPU_GPU_CV 4199mW/1818mW VDD_SOC 1470mW/1488mW
05-26-2026 15:04:36 RAM 1625/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.312C soc2@46.593C soc0@45.718C gpu@47.343C tj@49.031C soc1@47.906C VDD_IN 8703mW/6414mW VDD_CPU_GPU_CV 4199mW/1932mW VDD_SOC 1470mW/1488mW
05-26-2026 15:04:36 RAM 1625/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.968C soc2@46.593C soc0@45.656C gpu@47.343C tj@49.062C soc1@48C VDD_IN 8703mW/6518mW VDD_CPU_GPU_CV 4199mW/2035mW VDD_SOC 1470mW/1487mW
05-26-2026 15:04:37 RAM 1626/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,98%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.187C soc2@46.625C soc0@45.906C gpu@47.437C tj@49.187C soc1@48.031C VDD_IN 8783mW/6617mW VDD_CPU_GPU_CV 4199mW/2129mW VDD_SOC 1510mW/1488mW
05-26-2026 15:04:37 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.281C soc2@46.75C soc0@45.968C gpu@47.312C tj@49.281C soc1@48.156C VDD_IN 8743mW/6705mW VDD_CPU_GPU_CV 4199mW/2215mW VDD_SOC 1510mW/1489mW
05-26-2026 15:04:38 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.468C soc2@46.781C soc0@45.812C gpu@47.687C tj@49.468C soc1@48.218C VDD_IN 8743mW/6787mW VDD_CPU_GPU_CV 4199mW/2294mW VDD_SOC 1470mW/1488mW
05-26-2026 15:04:38 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.218C soc2@46.781C soc0@45.906C gpu@47.406C tj@49.218C soc1@48.125C VDD_IN 8703mW/6861mW VDD_CPU_GPU_CV 4199mW/2368mW VDD_SOC 1470mW/1487mW
05-26-2026 15:04:39 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.25C soc2@46.75C soc0@45.906C gpu@47.656C tj@49.25C soc1@48.187C VDD_IN 8703mW/6929mW VDD_CPU_GPU_CV 4199mW/2436mW VDD_SOC 1470mW/1487mW
05-26-2026 15:04:39 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.312C soc2@46.843C soc0@46.093C gpu@47.656C tj@49.312C soc1@48.187C VDD_IN 8703mW/6992mW VDD_CPU_GPU_CV 4199mW/2499mW VDD_SOC 1470mW/1486mW
05-26-2026 15:04:40 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.375C soc2@46.875C soc0@46.093C gpu@47.531C tj@49.375C soc1@48.25C VDD_IN 8703mW/7051mW VDD_CPU_GPU_CV 4199mW/2557mW VDD_SOC 1470mW/1485mW
05-26-2026 15:04:40 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.5C soc2@47.031C soc0@46.218C gpu@47.687C tj@49.5C soc1@48.406C VDD_IN 8703mW/7106mW VDD_CPU_GPU_CV 4199mW/2612mW VDD_SOC 1470mW/1485mW
05-26-2026 15:04:41 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.468C soc2@47.062C soc0@46.062C gpu@47.593C tj@49.468C soc1@48.437C VDD_IN 8703mW/7158mW VDD_CPU_GPU_CV 4199mW/2663mW VDD_SOC 1470mW/1484mW
05-26-2026 15:04:41 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.562C soc2@47.031C soc0@46.156C gpu@47.656C tj@49.562C soc1@48.312C VDD_IN 8703mW/7206mW VDD_CPU_GPU_CV 4199mW/2711mW VDD_SOC 1470mW/1484mW
05-26-2026 15:04:42 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.437C soc2@47.031C soc0@46.062C gpu@48.031C tj@49.437C soc1@48.281C VDD_IN 8703mW/7251mW VDD_CPU_GPU_CV 4199mW/2756mW VDD_SOC 1470mW/1484mW
05-26-2026 15:04:42 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.5C soc2@47.031C soc0@46.156C gpu@47.75C tj@49.5C soc1@48.343C VDD_IN 8703mW/7294mW VDD_CPU_GPU_CV 4199mW/2799mW VDD_SOC 1470mW/1483mW
05-26-2026 15:04:43 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.468C soc2@47.187C soc0@46.312C gpu@48C tj@49.468C soc1@48.343C VDD_IN 8703mW/7334mW VDD_CPU_GPU_CV 4199mW/2839mW VDD_SOC 1470mW/1483mW
05-26-2026 15:04:43 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.562C soc2@47.218C soc0@46.375C gpu@47.937C tj@49.562C soc1@48.531C VDD_IN 8703mW/7372mW VDD_CPU_GPU_CV 4199mW/2876mW VDD_SOC 1470mW/1482mW
05-26-2026 15:04:44 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.718C soc2@47.218C soc0@46.468C gpu@48.062C tj@49.718C soc1@48.562C VDD_IN 8703mW/7408mW VDD_CPU_GPU_CV 4199mW/2912mW VDD_SOC 1470mW/1482mW
05-26-2026 15:04:45 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.781C soc2@47.156C soc0@46.312C gpu@47.812C tj@49.781C soc1@48.437C VDD_IN 8703mW/7442mW VDD_CPU_GPU_CV 4199mW/2946mW VDD_SOC 1470mW/1482mW
05-26-2026 15:04:45 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.781C soc2@47.156C soc0@46.406C gpu@48.031C tj@49.593C soc1@48.468C VDD_IN 8703mW/7475mW VDD_CPU_GPU_CV 4199mW/2978mW VDD_SOC 1470mW/1482mW
05-26-2026 15:04:46 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.625C soc2@47.25C soc0@46.468C gpu@47.875C tj@49.625C soc1@48.625C VDD_IN 8703mW/7505mW VDD_CPU_GPU_CV 4199mW/3009mW VDD_SOC 1470mW/1481mW
05-26-2026 15:04:46 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.687C soc2@47.312C soc0@46.468C gpu@48C tj@49.687C soc1@48.625C VDD_IN 8703mW/7535mW VDD_CPU_GPU_CV 4199mW/3038mW VDD_SOC 1470mW/1481mW
05-26-2026 15:04:47 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.687C soc2@47.343C soc0@46.562C gpu@48.062C tj@49.937C soc1@48.718C VDD_IN 8703mW/7562mW VDD_CPU_GPU_CV 4199mW/3065mW VDD_SOC 1470mW/1481mW
05-26-2026 15:04:47 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.812C soc2@47.375C soc0@46.593C gpu@48.25C tj@50.031C soc1@48.781C VDD_IN 8703mW/7589mW VDD_CPU_GPU_CV 4199mW/3092mW VDD_SOC 1470mW/1480mW
05-26-2026 15:04:48 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.781C soc2@47.437C soc0@46.5C gpu@48.062C tj@49.781C soc1@48.75C VDD_IN 8703mW/7614mW VDD_CPU_GPU_CV 4199mW/3117mW VDD_SOC 1470mW/1480mW
05-26-2026 15:04:48 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.968C soc2@47.375C soc0@46.531C gpu@48.375C tj@49.875C soc1@48.562C VDD_IN 8703mW/7638mW VDD_CPU_GPU_CV 4199mW/3141mW VDD_SOC 1470mW/1480mW
05-26-2026 15:04:49 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50C soc2@47.437C soc0@46.562C gpu@48.5C tj@50C soc1@48.656C VDD_IN 8703mW/7662mW VDD_CPU_GPU_CV 4206mW/3164mW VDD_SOC 1470mW/1480mW
05-26-2026 15:04:49 RAM 1627/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.968C soc2@47.437C soc0@46.593C gpu@48.312C tj@49.968C soc1@48.781C VDD_IN 8703mW/7684mW VDD_CPU_GPU_CV 4199mW/3186mW VDD_SOC 1470mW/1480mW
05-26-2026 15:04:50 RAM 1628/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@49.937C soc2@47.531C soc0@46.656C gpu@48.218C tj@49.937C soc1@48.812C VDD_IN 8743mW/7706mW VDD_CPU_GPU_CV 4199mW/3207mW VDD_SOC 1470mW/1479mW
05-26-2026 15:04:50 RAM 1628/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50C soc2@47.562C soc0@46.843C gpu@48.156C tj@50C soc1@48.875C VDD_IN 8703mW/7726mW VDD_CPU_GPU_CV 4199mW/3227mW VDD_SOC 1470mW/1479mW
