05-25-2026 21:14:10 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1015,0%@729,3%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.625C soc0@46.375C gpu@47.562C tj@48.75C soc1@48.75C VDD_IN 4567mW/4854mW VDD_CPU_GPU_CV 520mW/736mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:10 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@729,1%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@46.531C soc0@46.375C gpu@47.812C tj@48.562C soc1@48.562C VDD_IN 4567mW/4834mW VDD_CPU_GPU_CV 480mW/718mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:11 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1310,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.937C soc2@46.656C soc0@46.468C gpu@47.593C tj@48.531C soc1@48.531C VDD_IN 4487mW/4811mW VDD_CPU_GPU_CV 480mW/702mW VDD_SOC 1442mW/1447mW
05-25-2026 21:14:12 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1432,1%@1113,0%@1113,3%@1113,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.593C soc0@46.593C gpu@47.531C tj@48.593C soc1@48.593C VDD_IN 4527mW/4793mW VDD_CPU_GPU_CV 520mW/690mW VDD_SOC 1442mW/1446mW
05-25-2026 21:14:12 RAM 901/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [24%@1267,28%@1651,22%@1651,25%@1651,52%@1728,33%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@46.656C soc0@46.593C gpu@47.656C tj@48.656C soc1@48.656C VDD_IN 5444mW/4831mW VDD_CPU_GPU_CV 1152mW/717mW VDD_SOC 1470mW/1448mW
05-25-2026 21:14:13 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [30%@1297,17%@729,19%@729,12%@729,27%@729,21%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@46.625C soc0@46.5C gpu@47.968C tj@48.562C soc1@48.562C VDD_IN 5334mW/4859mW VDD_CPU_GPU_CV 1073mW/737mW VDD_SOC 1472mW/1449mW
05-25-2026 21:14:13 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1253,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.593C soc0@46.531C gpu@47.75C tj@48.593C soc1@48.593C VDD_IN 4760mW/4854mW VDD_CPU_GPU_CV 678mW/734mW VDD_SOC 1440mW/1449mW
05-25-2026 21:14:14 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1256,1%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.625C soc0@46.531C gpu@47.625C tj@48.593C soc1@48.593C VDD_IN 4567mW/4840mW VDD_CPU_GPU_CV 520mW/723mW VDD_SOC 1442mW/1448mW
05-25-2026 21:14:14 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1211,0%@729,0%@729,0%@729,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@46.593C soc0@46.437C gpu@47.5C tj@48.687C soc1@48.687C VDD_IN 4527mW/4825mW VDD_CPU_GPU_CV 520mW/714mW VDD_SOC 1442mW/1448mW
05-25-2026 21:14:15 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@1497,9%@1574,14%@1574,21%@1574,12%@729,31%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@46.656C soc0@46.406C gpu@47.593C tj@48.5C soc1@48.5C VDD_IN 5063mW/4836mW VDD_CPU_GPU_CV 875mW/721mW VDD_SOC 1475mW/1449mW
05-25-2026 21:14:15 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1257,3%@727,0%@1113,5%@1113,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.937C soc2@46.625C soc0@46.593C gpu@47.812C tj@48.593C soc1@48.656C VDD_IN 4720mW/4831mW VDD_CPU_GPU_CV 638mW/717mW VDD_SOC 1440mW/1449mW
05-25-2026 21:14:16 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1332,0%@960,1%@960,0%@960,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@46.593C soc0@46.437C gpu@47.5C tj@48.468C soc1@48.468C VDD_IN 4607mW/4821mW VDD_CPU_GPU_CV 520mW/709mW VDD_SOC 1442mW/1449mW
05-25-2026 21:14:16 RAM 902/7607MB (lfb 85x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1319,0%@806,0%@806,0%@806,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.593C soc0@46.406C gpu@47.75C tj@48.5C soc1@48.5C VDD_IN 4527mW/4809mW VDD_CPU_GPU_CV 480mW/700mW VDD_SOC 1442mW/1448mW
