05-25-2026 17:56:00 RAM 893/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [27%@1728,23%@1728,34%@1728,30%@1728,27%@1497,14%@1497] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.218C soc0@45.843C gpu@47.437C tj@48.156C soc1@48.156C VDD_IN 5285mW/4680mW VDD_CPU_GPU_CV 1033mW/596mW VDD_SOC 1470mW/1444mW
05-25-2026 17:56:01 RAM 893/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [19%@729,8%@729,15%@1179,15%@1728,11%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.156C soc0@45.906C gpu@47.343C tj@48.062C soc1@48.062C VDD_IN 5087mW/4709mW VDD_CPU_GPU_CV 952mW/621mW VDD_SOC 1430mW/1443mW
05-25-2026 17:56:01 RAM 892/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@729,15%@729,12%@729,13%@729,5%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.687C soc2@46.218C soc0@46C gpu@47.281C tj@48.156C soc1@48.156C VDD_IN 5007mW/4729mW VDD_CPU_GPU_CV 912mW/641mW VDD_SOC 1430mW/1442mW
05-25-2026 17:56:02 RAM 892/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@729,10%@729,14%@729,14%@729,31%@729,8%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.281C soc0@45.937C gpu@47.25C tj@48.218C soc1@48.218C VDD_IN 5047mW/4749mW VDD_CPU_GPU_CV 952mW/660mW VDD_SOC 1430mW/1442mW
05-25-2026 17:56:02 RAM 892/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1267,15%@1267,10%@1267,11%@1267,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.25C soc0@45.937C gpu@47.187C tj@48.156C soc1@48.156C VDD_IN 5007mW/4764mW VDD_CPU_GPU_CV 872mW/673mW VDD_SOC 1430mW/1441mW
05-25-2026 17:56:03 RAM 893/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [46%@1728,38%@1728,40%@1728,46%@1728,32%@806,39%@806] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.531C soc2@46.468C soc0@46.031C gpu@47.281C tj@48.531C soc1@48.187C VDD_IN 5991mW/4832mW VDD_CPU_GPU_CV 1663mW/728mW VDD_SOC 1468mW/1442mW
05-25-2026 17:56:03 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [14%@1651,8%@1651,21%@1651,15%@1651,40%@883,38%@883] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@46.343C soc0@45.906C gpu@47.343C tj@48.156C soc1@48.156C VDD_IN 5594mW/4872mW VDD_CPU_GPU_CV 1346mW/760mW VDD_SOC 1468mW/1444mW
05-25-2026 17:56:04 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@1728,14%@1728,10%@1728,12%@1176,23%@729,5%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.593C soc2@46.25C soc0@46.062C gpu@47.343C tj@48.25C soc1@48.25C VDD_IN 5237mW/4890mW VDD_CPU_GPU_CV 1071mW/776mW VDD_SOC 1428mW/1443mW
05-25-2026 17:56:04 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1728,8%@1728,11%@1728,15%@1726,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.875C soc2@46.218C soc0@45.968C gpu@47.531C tj@48.125C soc1@48.125C VDD_IN 5007mW/4896mW VDD_CPU_GPU_CV 912mW/782mW VDD_SOC 1430mW/1442mW
05-25-2026 17:56:05 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@729,13%@729,8%@729,16%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.562C soc2@46.187C soc0@46.125C gpu@47.312C tj@48.218C soc1@48.218C VDD_IN 4888mW/4896mW VDD_CPU_GPU_CV 833mW/785mW VDD_SOC 1430mW/1442mW
