05-26-2026 14:17:39 RAM 1624/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [23%@1728,12%@1728,36%@1728,9%@1728,21%@1728,37%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.843C soc2@46.281C soc0@45.906C gpu@47.093C tj@48.125C soc1@48.125C VDD_IN 5942mW/5544mW VDD_CPU_GPU_CV 1426mW/1090mW VDD_SOC 1507mW/1484mW
05-26-2026 14:17:40 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [6%@1728,12%@1728,11%@1728,9%@1728,20%@1728,56%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@46.218C soc0@45.937C gpu@47.343C tj@48C soc1@48C VDD_IN 6021mW/5578mW VDD_CPU_GPU_CV 1505mW/1119mW VDD_SOC 1505mW/1485mW
05-26-2026 14:17:41 RAM 1625/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1728,14%@1728,15%@1728,15%@1728,21%@1728,39%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.031C soc2@46.25C soc0@46C gpu@47.5C tj@48.031C soc1@48C VDD_IN 6100mW/5613mW VDD_CPU_GPU_CV 1584mW/1150mW VDD_SOC 1505mW/1487mW
05-26-2026 14:17:41 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@1728,6%@1728,10%@1728,8%@1728,26%@1728,10%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.218C soc0@45.937C gpu@47.312C tj@48.031C soc1@48.031C VDD_IN 5863mW/5628mW VDD_CPU_GPU_CV 1386mW/1165mW VDD_SOC 1505mW/1488mW
05-26-2026 14:17:42 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [21%@1728,13%@1728,8%@1728,5%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.187C soc0@45.968C gpu@47.531C tj@47.968C soc1@47.968C VDD_IN 5585mW/5626mW VDD_CPU_GPU_CV 1148mW/1164mW VDD_SOC 1465mW/1487mW
05-26-2026 14:17:42 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [24%@1728,15%@1728,12%@1728,10%@1728,31%@1728,9%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.625C soc2@46.281C soc0@46.093C gpu@47.375C tj@48.125C soc1@48.125C VDD_IN 5744mW/5632mW VDD_CPU_GPU_CV 1307mW/1172mW VDD_SOC 1505mW/1488mW
05-26-2026 14:17:43 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@1728,2%@1728,4%@1728,3%@1728,10%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.656C soc2@46.218C soc0@46.031C gpu@47.375C tj@48.125C soc1@48.125C VDD_IN 5546mW/5628mW VDD_CPU_GPU_CV 1109mW/1169mW VDD_SOC 1465mW/1486mW
05-26-2026 14:17:43 RAM 1626/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [28%@1728,20%@1728,16%@1728,17%@1728,27%@1728,31%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.281C soc0@46.218C gpu@47.218C tj@48.156C soc1@48.156C VDD_IN 6140mW/5653mW VDD_CPU_GPU_CV 1584mW/1190mW VDD_SOC 1507mW/1487mW
05-26-2026 14:17:44 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [29%@1728,12%@1728,20%@1728,18%@1728,30%@1728,28%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.375C soc0@45.875C gpu@47.437C tj@48.218C soc1@48.218C VDD_IN 5982mW/5669mW VDD_CPU_GPU_CV 1465mW/1203mW VDD_SOC 1507mW/1488mW
05-26-2026 14:17:44 RAM 1627/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [8%@1728,0%@1728,11%@1728,3%@1728,10%@1728,11%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.812C soc2@46.187C soc0@45.937C gpu@47.218C tj@48.218C soc1@48.218C VDD_IN 5625mW/5667mW VDD_CPU_GPU_CV 1188mW/1202mW VDD_SOC 1505mW/1489mW
