05-26-2026 19:38:12 RAM 1636/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,5%@1728,5%@1728,3%@1728,3%@1728,18%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.562C soc2@51.156C soc0@51.375C gpu@52.531C tj@52.875C soc1@52.875C VDD_IN 5704mW/5704mW VDD_CPU_GPU_CV 1186mW/1186mW VDD_SOC 1505mW/1505mW
05-26-2026 19:38:12 RAM 1636/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@51.062C soc0@51.437C gpu@52.187C tj@52.687C soc1@52.687C VDD_IN 5387mW/5546mW VDD_CPU_GPU_CV 909mW/1048mW VDD_SOC 1505mW/1505mW
05-26-2026 19:38:13 RAM 1636/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@50.968C soc0@51.25C gpu@52.312C tj@52.687C soc1@52.687C VDD_IN 5268mW/5453mW VDD_CPU_GPU_CV 830mW/975mW VDD_SOC 1505mW/1505mW
05-26-2026 19:38:13 RAM 1636/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@50.937C soc0@51.343C gpu@52.531C tj@52.625C soc1@52.625C VDD_IN 5229mW/5397mW VDD_CPU_GPU_CV 791mW/929mW VDD_SOC 1505mW/1505mW
05-26-2026 19:38:14 RAM 1636/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@51C soc0@51.343C gpu@52.093C tj@52.656C soc1@52.656C VDD_IN 5229mW/5363mW VDD_CPU_GPU_CV 791mW/901mW VDD_SOC 1505mW/1505mW
05-26-2026 19:38:14 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,13%@1728,25%@1728,22%@1728,13%@1728,10%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.687C soc2@50.968C soc0@51.343C gpu@52.343C tj@52.687C soc1@52.625C VDD_IN 5823mW/5440mW VDD_CPU_GPU_CV 1305mW/969mW VDD_SOC 1505mW/1505mW
05-26-2026 19:38:15 RAM 1633/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@1728,45%@1728,14%@1728,22%@1728,38%@1728,38%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.968C soc2@51.031C soc0@51.343C gpu@52.031C tj@52.968C soc1@52.687C VDD_IN 6417mW/5580mW VDD_CPU_GPU_CV 1779mW/1084mW VDD_SOC 1545mW/1511mW
05-26-2026 19:38:15 RAM 1635/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [12%@1728,29%@1728,12%@1728,21%@1728,10%@1728,9%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@50.968C soc0@51.218C gpu@52.125C tj@52.5C soc1@52.593C VDD_IN 5982mW/5630mW VDD_CPU_GPU_CV 1384mW/1122mW VDD_SOC 1505mW/1510mW
05-26-2026 19:38:16 RAM 1635/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,3%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@50.906C soc0@51.25C gpu@52.406C tj@52.562C soc1@52.562C VDD_IN 5427mW/5607mW VDD_CPU_GPU_CV 949mW/1103mW VDD_SOC 1505mW/1509mW
05-26-2026 19:38:17 RAM 1635/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,1%@1728,0%@1728,1%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@50.875C soc0@51.125C gpu@52.125C tj@52.562C soc1@52.562C VDD_IN 5268mW/5573mW VDD_CPU_GPU_CV 830mW/1075mW VDD_SOC 1505mW/1509mW
05-26-2026 19:38:17 RAM 1635/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@50.75C soc0@51.062C gpu@52C tj@52.437C soc1@52.437C VDD_IN 5229mW/5542mW VDD_CPU_GPU_CV 791mW/1050mW VDD_SOC 1505mW/1509mW
