Sensor: 208 Hz DRDY streaming.
Tree:   window=75  mlc_odr=104  decim=2  features=2  nodes=3
Class codes: still=0  motion=4

trans#   t_int_us     new_class  host_dt_us  
Warmup complete (75 MLC samples, 721.2 ms wall).
1        20740795548  4          321         
2        20745739634  0          321         
3        20749977867  4          323         
4        20755628493  0          326         
5        20759866049  4          315         
6        20760572341  0          324         
7        20761278677  4          309         
8        20765516568  0          311         
