Sensor: 208 Hz DRDY streaming.
Tree:   window=75  mlc_odr=104  decim=2  features=2  nodes=3
Class codes: still=0  motion=4

trans#   t_int_us     new_class  host_dt_us  
Warmup complete (75 MLC samples, 721.2 ms wall).
1        20695744662  4          324         
2        20700689191  0          312         
3        20704927067  4          321         
4        20710577438  0          313         
5        20714815153  4          325         
6        20715521477  0          329         
7        20716227783  4          311         
8        20720465572  0          335         
