05-26-2026 17:42:13 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,1%@1728,1%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.531C soc2@44.937C soc0@44.656C gpu@46.25C tj@46.812C soc1@46.812C VDD_IN 5268mW/5521mW VDD_CPU_GPU_CV 871mW/1072mW VDD_SOC 1465mW/1484mW
05-26-2026 17:42:14 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,1%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@44.875C soc0@44.718C gpu@46C tj@46.812C soc1@46.812C VDD_IN 5189mW/5498mW VDD_CPU_GPU_CV 831mW/1055mW VDD_SOC 1468mW/1483mW
05-26-2026 17:42:14 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@1728,0%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.218C soc2@44.906C soc0@44.75C gpu@46.125C tj@46.937C soc1@46.937C VDD_IN 5150mW/5474mW VDD_CPU_GPU_CV 792mW/1037mW VDD_SOC 1465mW/1482mW
05-26-2026 17:42:15 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.25C soc2@44.875C soc0@44.75C gpu@45.937C tj@46.875C soc1@46.875C VDD_IN 5150mW/5454mW VDD_CPU_GPU_CV 792mW/1022mW VDD_SOC 1468mW/1481mW
05-26-2026 17:42:15 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [5%@1728,6%@1728,6%@1728,7%@1728,2%@1728,0%@1728] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.781C soc2@45.062C soc0@44.718C gpu@45.906C tj@47C soc1@46.906C VDD_IN 5387mW/5450mW VDD_CPU_GPU_CV 950mW/1018mW VDD_SOC 1468mW/1480mW
05-26-2026 17:42:16 RAM 1634/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,38%@1728,31%@1728,39%@1728,19%@1728,24%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.968C soc2@45.093C soc0@44.625C gpu@45.968C tj@46.937C soc1@46.937C VDD_IN 6269mW/5496mW VDD_CPU_GPU_CV 1663mW/1054mW VDD_SOC 1507mW/1482mW
05-26-2026 17:42:16 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [29%@1728,34%@1728,37%@1728,25%@1728,14%@1728,9%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.968C soc2@45.125C soc0@44.656C gpu@46.062C tj@46.968C soc1@46.812C VDD_IN 6348mW/5541mW VDD_CPU_GPU_CV 1743mW/1090mW VDD_SOC 1507mW/1483mW
05-26-2026 17:42:17 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [70%@1728,54%@1728,68%@1728,50%@1728,57%@1728,52%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.906C soc2@45.343C soc0@44.656C gpu@46.062C tj@47.906C soc1@46.843C VDD_IN 7420mW/5635mW VDD_CPU_GPU_CV 2773mW/1174mW VDD_SOC 1547mW/1486mW
05-26-2026 17:42:18 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,98%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.968C soc2@45.437C soc0@44.781C gpu@46.156C tj@47.968C soc1@47.031C VDD_IN 8306mW/5762mW VDD_CPU_GPU_CV 3769mW/1298mW VDD_SOC 1510mW/1487mW
05-26-2026 17:42:18 RAM 1635/7607MB (lfb 4x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.093C soc2@45.625C soc0@44.906C gpu@46.531C tj@48.093C soc1@47.031C VDD_IN 8584mW/5890mW VDD_CPU_GPU_CV 4087mW/1424mW VDD_SOC 1470mW/1487mW
