trial_id,stimulus_type,t_stim_s,t_d0_s,t_d1_s,latency_us,included,exclusion_reason
0,still_to_motion,1.78566046,2.1353467,2.1354151,68.39999999996849,True,
1,motion_to_still,6.79172354,8.49019376,8.49073482,541.0599999997601,True,
2,still_to_motion,11.7978276,12.02082262,12.02087906,56.43999999982441,True,
3,motion_to_still,16.80382326,18.37590642,18.37614658,240.1600000005999,True,
4,still_to_motion,21.8096444,21.90636634,21.90641904,52.699999997685154,True,
5,motion_to_still,26.81543196,28.26121472,28.26126668,51.95999999685341,True,
6,still_to_motion,31.80299852,32.49716418,32.4972216,57.42000000452663,True,
7,motion_to_still,36.80884348,38.85194486,38.85199758,52.71999999933996,True,
8,still_to_motion,41.81457428,42.3819876,42.38204126,53.65999999895621,True,
9,motion_to_still,46.82034056,48.73722852,48.73728156,53.03999999739517,True,
10,still_to_motion,51.82636424,52.26809174,52.26814436,52.61999999817135,True,
11,motion_to_still,56.81405604,58.62261434,58.622669,54.66000000353688,True,
12,still_to_motion,61.82016992,62.15293434,62.15299018,55.840000001694534,True,
13,motion_to_still,66.8261593,68.50722024,68.50728114,60.900000008246025,True,
14,still_to_motion,71.83224306,72.03743928,72.03796828,529.0000000002237,True,
15,motion_to_still,76.83833138,78.39237628,78.39261538,239.10000000171294,True,
16,still_to_motion,81.84442968,81.92246432,81.92299644,532.1200000025783,True,
17,motion_to_still,86.83229578,88.27723826,88.27729196,53.6999999951604,True,
18,still_to_motion,91.83849814,92.51325426,92.51348854,234.2800000008083,True,
19,motion_to_still,96.84467998,98.8680407,98.86810356,62.859999999886895,True,
20,still_to_motion,101.85103994,102.39916712,102.3995256,358.4800000027144,True,
21,motion_to_still,106.85741592,108.75405254,108.75457998,527.4399999990464,True,
22,still_to_motion,111.84542946,112.28433992,112.28487134,531.4200000015035,True,
23,motion_to_still,116.85172354,118.63888856,118.63894604,57.479999995280195,True,
24,still_to_motion,121.85814046,122.16910484,122.16934582,240.98000000094544,True,
25,motion_to_still,126.86443718,128.52361716,128.52367114,53.9800000183277,True,
26,still_to_motion,131.87076552,132.05369766,132.05393116,233.49999997890336,True,
27,motion_to_still,136.85897344,138.40860142,138.40884376,242.3399999997855,True,
28,still_to_motion,141.86540466,141.93899544,141.93952056,525.1199999918299,True,
29,motion_to_still,146.87187258,149.00003778,149.0000938,56.01999998816609,True,
30,still_to_motion,151.87831452,152.5304656,152.53052296,57.359999999562206,True,
31,motion_to_still,156.88491614,,158.1793224,,False,multiple_d1_in_window
32,still_to_motion,161.87284454,,,,False,no_d1_in_window
33,motion_to_still,166.87874306,168.7703288,168.77038826,59.46000001699758,True,
34,still_to_motion,171.88463758,172.30036384,172.30041856,54.7200000085013,True,
35,motion_to_still,176.89046486,178.65574894,178.65581002,61.07999999471758,True,
36,still_to_motion,181.89629238,182.18586976,182.18640204,532.2799999873951,True,
37,motion_to_still,186.88391632,188.54054098,188.54059992,58.9400000023943,True,
38,still_to_motion,191.88978944,192.07089474,192.07095162,56.87999998826854,True,
39,motion_to_still,196.89564396,198.4263057,198.42653984,234.1400000034355,True,
40,still_to_motion,201.90158422,201.9573693,201.95789242,523.1199999968794,True,
41,motion_to_still,206.90750586,208.3123792,208.3126177,238.49999999470128,True,
42,still_to_motion,211.89514894,212.54847988,212.548783,303.11999998389183,True,
43,motion_to_still,216.90125786,218.90328524,218.90352732,242.07999999248386,True,
44,still_to_motion,221.907454,222.43390174,222.43414304,241.29999999900065,True,
45,motion_to_still,226.91366642,228.78915664,228.78921794,61.29999999870961,True,
46,still_to_motion,231.91966798,232.32017666,232.32023558,58.92000001495035,True,
47,motion_to_still,236.92580096,238.67521338,238.67526854,55.159999988063646,True,
48,still_to_motion,241.91362034,242.20535908,242.2056009,241.82000001360393,True,
49,motion_to_still,246.91999084,248.56073934,248.56097656,237.22000000248045,True,
50,still_to_motion,251.92634872,252.0912705,252.09133402,63.51999999765212,True,
51,motion_to_still,256.93292132,258.44613612,258.44637836,242.2399999773006,True,
52,still_to_motion,261.92120378,261.97586176,261.97591966,57.90000000160944,True,
53,motion_to_still,266.92761174,268.33022234,268.33028416,61.8200000417346,True,
54,still_to_motion,271.93383858,272.5664351,272.56648824,53.14000003409092,True,
55,motion_to_still,276.9401273,278.92066048,278.9208952,234.72000003721405,True,
56,still_to_motion,281.92833546,282.45045586,282.450519,63.140000008843344,True,
57,motion_to_still,286.93484088,288.80451082,288.80457158,60.75999999666237,True,
58,still_to_motion,291.94114244,292.33461402,292.33467684,62.819999982366426,True,
59,motion_to_still,296.94739892,298.68892432,298.68897516,50.83999997168576,True,
