05-25-2026 19:42:22 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [13%@1728,0%@1728,7%@1728,7%@1728,25%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@46.968C soc0@46.75C gpu@48.031C tj@48.75C soc1@48.75C VDD_IN 5103mW/5103mW VDD_CPU_GPU_CV 917mW/917mW VDD_SOC 1435mW/1435mW
05-25-2026 19:42:23 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@46.906C soc0@46.75C gpu@47.937C tj@48.812C soc1@48.812C VDD_IN 4680mW/4892mW VDD_CPU_GPU_CV 600mW/759mW VDD_SOC 1442mW/1439mW
05-25-2026 19:42:24 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [1%@1728,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@46.906C soc0@46.75C gpu@48.187C tj@48.812C soc1@48.812C VDD_IN 4567mW/4783mW VDD_CPU_GPU_CV 520mW/679mW VDD_SOC 1442mW/1440mW
05-25-2026 19:42:24 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1350,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@46.937C soc0@46.75C gpu@47.968C tj@48.906C soc1@48.906C VDD_IN 4527mW/4719mW VDD_CPU_GPU_CV 480mW/629mW VDD_SOC 1442mW/1440mW
05-25-2026 19:42:25 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1352,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@46.875C soc0@46.625C gpu@48.125C tj@48.781C soc1@48.781C VDD_IN 4527mW/4681mW VDD_CPU_GPU_CV 480mW/599mW VDD_SOC 1442mW/1441mW
05-25-2026 19:42:25 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [3%@1307,5%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@46.875C soc0@46.718C gpu@47.812C tj@48.75C soc1@48.75C VDD_IN 4567mW/4662mW VDD_CPU_GPU_CV 480mW/580mW VDD_SOC 1442mW/1441mW
05-25-2026 19:42:26 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1308,28%@729,16%@729,22%@729,55%@1113,20%@1113] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@47C soc0@46.781C gpu@47.875C tj@48.843C soc1@48.843C VDD_IN 5126mW/4728mW VDD_CPU_GPU_CV 914mW/627mW VDD_SOC 1472mW/1445mW
05-25-2026 19:42:26 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1305,11%@806,11%@806,20%@806,40%@1651,19%@1651] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.687C soc2@47.031C soc0@46.718C gpu@48.218C tj@48.937C soc1@48.937C VDD_IN 5206mW/4788mW VDD_CPU_GPU_CV 952mW/668mW VDD_SOC 1470mW/1448mW
05-25-2026 19:42:27 RAM 895/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [28%@1277,32%@729,16%@729,18%@729,18%@729,30%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@47C soc0@46.75C gpu@48.093C tj@48.812C soc1@48.812C VDD_IN 5594mW/4877mW VDD_CPU_GPU_CV 1309mW/739mW VDD_SOC 1468mW/1451mW
05-25-2026 19:42:27 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [16%@1320,12%@729,14%@729,24%@729,50%@729,13%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@46.968C soc0@46.75C gpu@47.968C tj@48.906C soc1@48.906C VDD_IN 5214mW/4911mW VDD_CPU_GPU_CV 953mW/761mW VDD_SOC 1472mW/1453mW
05-25-2026 19:42:28 RAM 894/7607MB (lfb 84x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1344,3%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@47C soc0@46.843C gpu@47.812C tj@48.906C soc1@48.906C VDD_IN 4720mW/4894mW VDD_CPU_GPU_CV 638mW/749mW VDD_SOC 1440mW/1452mW
